Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
1,69,13,83,65,230,30.0,5.65,36.09,28.26
10,72,6,78,37,193,37.31,3.11,40.41,19.17
100,20,4,49,32,105,19.05,3.81,46.67,30.48
101,62,10,76,67,215,28.84,4.65,35.35,31.16
102,54,7,51,35,147,36.73,4.76,34.69,23.81
103,39,4,51,46,140,27.86,2.86,36.43,32.86
103-1,47,3,44,15,109,43.12,2.75,40.37,13.76
104,42,2,42,20,106,39.62,1.89,39.62,18.87
105,46,5,72,36,159,28.93,3.14,45.28,22.64
105-1,33,5,47,14,99,33.33,5.05,47.47,14.14
106,48,8,82,26,164,29.27,4.88,50.0,15.85
107,56,5,76,67,204,27.45,2.45,37.25,32.84
107-1,56,15,105,97,273,20.51,5.49,38.46,35.53
108,28,5,90,58,181,15.47,2.76,49.72,32.04
109,74,16,109,96,295,25.08,5.42,36.95,32.54
109-1,62,13,82,70,227,27.31,5.73,36.12,30.84
11,60,9,92,44,205,29.27,4.39,44.88,21.46
110,46,7,56,44,153,30.07,4.58,36.6,28.76
111,45,9,62,55,171,26.32,5.26,36.26,32.16
111-1,34,9,51,59,153,22.22,5.88,33.33,38.56
112,60,8,142,32,242,24.79,3.31,58.68,13.22
112-1,38,9,94,58,199,19.1,4.52,47.24,29.15
113,69,9,112,53,243,28.4,3.7,46.09,21.81
113-1,51,8,70,60,189,26.98,4.23,37.04,31.75
114,34,3,71,25,133,25.56,2.26,53.38,18.8
115,68,13,105,39,225,30.22,5.78,46.67,17.33
116,94,15,37,44,190,49.47,7.89,19.47,23.16
117,122,6,40,58,226,53.98,2.65,17.7,25.66
118,62,11,108,57,238,26.05,4.62,45.38,23.95
119,79,9,150,71,309,25.57,2.91,48.54,22.98
119-1,35,2,34,23,94,37.23,2.13,36.17,24.47
12,33,13,73,58,177,18.64,7.34,41.24,32.77
12-1,48,13,86,42,189,25.4,6.88,45.5,22.22
120,33,2,40,16,91,36.26,2.2,43.96,17.58
120-1,32,5,54,24,115,27.83,4.35,46.96,20.87
121,36,3,56,30,125,28.8,2.4,44.8,24.0
122,54,7,100,45,206,26.21,3.4,48.54,21.84
123,20,3,59,22,104,19.23,2.88,56.73,21.15
124,54,10,101,47,212,25.47,4.72,47.64,22.17
125,63,11,97,54,225,28.0,4.89,43.11,24.0
126,63,9,149,55,276,22.83,3.26,53.99,19.93
127,69,12,169,77,327,21.1,3.67,51.68,23.55
128,68,21,132,69,290,23.45,7.24,45.52,23.79
129,63,11,72,69,215,29.3,5.12,33.49,32.09
13,74,12,83,56,225,32.89,5.33,36.89,24.89
13-1,1,1,31,15,48,2.08,2.08,64.58,31.25
130,27,2,19,11,59,45.76,3.39,32.2,18.64
131,95,3,43,32,173,54.91,1.73,24.86,18.5
132,97,12,36,40,185,52.43,6.49,19.46,21.62
133,73,3,14,20,110,66.36,2.73,12.73,18.18
134,0,0,0,0,0,,,,
135,48,3,14,23,88,54.55,3.41,15.91,26.14
136,117,9,43,43,212,55.19,4.25,20.28,20.28
137,49,9,39,41,138,35.51,6.52,28.26,29.71
137-1,57,2,52,30,141,40.43,1.42,36.88,21.28
138,47,6,32,33,118,39.83,5.08,27.12,27.97
139,90,15,47,56,208,43.27,7.21,22.6,26.92
14,70,5,67,37,179,39.11,2.79,37.43,20.67
140,47,15,53,70,185,25.41,8.11,28.65,37.84
141,44,18,66,56,184,23.91,9.78,35.87,30.43
142,62,11,32,48,153,40.52,7.19,20.92,31.37
143,50,5,41,36,132,37.88,3.79,31.06,27.27
144,0,3,6,10,19,0.0,15.79,31.58,52.63
145,33,11,74,77,195,16.92,5.64,37.95,39.49
146,36,6,47,60,149,24.16,4.03,31.54,40.27
147,82,6,47,65,200,41.0,3.0,23.5,32.5
148,32,17,38,46,133,24.06,12.78,28.57,34.59
149,92,7,21,47,167,55.09,4.19,12.57,28.14
15,85,15,100,55,255,33.33,5.88,39.22,21.57
150,93,7,38,37,175,53.14,4.0,21.71,21.14
150-1,82,4,8,20,114,71.93,3.51,7.02,17.54
151,73,4,44,35,156,46.79,2.56,28.21,22.44
152,60,5,30,31,126,47.62,3.97,23.81,24.6
152-1,67,9,39,38,153,43.79,5.88,25.49,24.84
16,64,9,89,50,212,30.19,4.25,41.98,23.58
17,56,7,66,30,159,35.22,4.4,41.51,18.87
18,88,12,76,50,226,38.94,5.31,33.63,22.12
19,20,2,50,571,643,3.11,0.31,7.78,88.8
2,65,10,77,38,190,34.21,5.26,40.53,20.0
20,117,19,59,47,242,48.35,7.85,24.38,19.42
21,0,0,0,0,0,,,,
22,50,8,43,36,137,36.5,5.84,31.39,26.28
23,68,8,30,27,133,51.13,6.02,22.56,20.3
23-1,89,7,41,41,178,50.0,3.93,23.03,23.03
24,79,13,42,31,165,47.88,7.88,25.45,18.79
25,71,11,146,51,279,25.45,3.94,52.33,18.28
26,76,8,96,31,211,36.02,3.79,45.5,14.69
27,52,7,72,26,157,33.12,4.46,45.86,16.56
28,69,4,48,32,153,45.1,2.61,31.37,20.92
28-1,27,10,66,33,136,19.85,7.35,48.53,24.26
29,35,2,47,16,100,35.0,2.0,47.0,16.0
3,73,9,78,53,213,34.27,4.23,36.62,24.88
30,29,4,30,17,80,36.25,5.0,37.5,21.25
31,56,3,43,27,129,43.41,2.33,33.33,20.93
32,49,3,61,7,120,40.83,2.5,50.83,5.83
33,42,2,53,13,110,38.18,1.82,48.18,11.82
34,76,6,50,33,165,46.06,3.64,30.3,20.0
34-1,3,0,12,19,34,8.82,0.0,35.29,55.88
35,65,2,109,44,220,29.55,0.91,49.55,20.0
36,115,5,59,53,232,49.57,2.16,25.43,22.84
37,49,10,67,28,154,31.82,6.49,43.51,18.18
37-1,43,5,55,36,139,30.94,3.6,39.57,25.9
38,93,6,38,28,165,56.36,3.64,23.03,16.97
39,78,10,64,32,184,42.39,5.43,34.78,17.39
4,93,24,109,71,297,31.31,8.08,36.7,23.91
40,73,6,77,58,214,34.11,2.8,35.98,27.1
41,47,4,57,28,136,34.56,2.94,41.91,20.59
41-1,66,3,70,52,191,34.55,1.57,36.65,27.23
42,78,12,89,62,241,32.37,4.98,36.93,25.73
43,122,15,73,76,286,42.66,5.24,25.52,26.57
44,103,8,78,45,234,44.02,3.42,33.33,19.23
45,63,9,58,40,170,37.06,5.29,34.12,23.53
45-1,24,2,39,25,90,26.67,2.22,43.33,27.78
46,60,13,61,41,175,34.29,7.43,34.86,23.43
47,44,2,78,32,156,28.21,1.28,50.0,20.51
48,76,12,114,64,266,28.57,4.51,42.86,24.06
49,36,5,79,40,160,22.5,3.12,49.38,25.0
49-1,37,6,48,19,110,33.64,5.45,43.64,17.27
5,36,7,53,48,144,25.0,4.86,36.81,33.33
50,83,5,47,35,170,48.82,2.94,27.65,20.59
50-1,90,12,44,40,186,48.39,6.45,23.66,21.51
500,33,6,73,7,119,27.73,5.04,61.34,5.88
501,19,4,59,12,94,20.21,4.26,62.77,12.77
502,22,5,90,21,138,15.94,3.62,65.22,15.22
503,18,9,55,14,96,18.75,9.38,57.29,14.58
504,37,8,60,11,116,31.9,6.9,51.72,9.48
505,15,4,74,10,103,14.56,3.88,71.84,9.71
506,16,6,37,8,67,23.88,8.96,55.22,11.94
51,107,6,73,42,228,46.93,2.63,32.02,18.42
52,99,12,66,36,213,46.48,5.63,30.99,16.9
53,98,11,61,62,232,42.24,4.74,26.29,26.72
54,32,6,57,47,142,22.54,4.23,40.14,33.1
54-1,12,4,72,31,119,10.08,3.36,60.5,26.05
55,55,8,118,45,226,24.34,3.54,52.21,19.91
55-1,24,5,86,34,149,16.11,3.36,57.72,22.82
56,50,7,79,32,168,29.76,4.17,47.02,19.05
56-1,25,6,77,26,134,18.66,4.48,57.46,19.4
57,68,7,86,63,224,30.36,3.12,38.39,28.12
58,46,4,43,54,147,31.29,2.72,29.25,36.73
58-1,61,5,39,36,141,43.26,3.55,27.66,25.53
59,88,18,45,77,228,38.6,7.89,19.74,33.77
6,76,10,74,72,232,32.76,4.31,31.9,31.03
60,77,8,37,67,189,40.74,4.23,19.58,35.45
600,178,17,216,90,501,35.53,3.39,43.11,17.96
601,71,11,144,33,259,27.41,4.25,55.6,12.74
602,187,19,183,66,455,41.1,4.18,40.22,14.51
603,309,20,364,121,814,37.96,2.46,44.72,14.86
604,75,7,111,36,229,32.75,3.06,48.47,15.72
605,215,29,205,64,513,41.91,5.65,39.96,12.48
606,95,10,206,44,355,26.76,2.82,58.03,12.39
607,152,18,307,79,556,27.34,3.24,55.22,14.21
608,216,12,45,38,311,69.45,3.86,14.47,12.22
609,161,16,98,62,337,47.77,4.75,29.08,18.4
61,128,8,39,45,220,58.18,3.64,17.73,20.45
610,95,8,60,50,213,44.6,3.76,28.17,23.47
611,105,18,296,82,501,20.96,3.59,59.08,16.37
612,137,21,447,98,703,19.49,2.99,63.58,13.94
613,114,18,249,97,478,23.85,3.77,52.09,20.29
614,109,12,315,56,492,22.15,2.44,64.02,11.38
615,209,24,239,92,564,37.06,4.26,42.38,16.31
616,129,18,133,68,348,37.07,5.17,38.22,19.54
617,73,9,50,25,157,46.5,5.73,31.85,15.92
618,139,19,293,97,548,25.36,3.47,53.47,17.7
619,92,31,258,74,455,20.22,6.81,56.7,16.26
62,78,8,20,57,163,47.85,4.91,12.27,34.97
620,107,15,177,60,359,29.81,4.18,49.3,16.71
63,57,9,21,30,117,48.72,7.69,17.95,25.64
63-1,45,7,30,35,117,38.46,5.98,25.64,29.91
64,42,4,32,66,144,29.17,2.78,22.22,45.83
64-1,47,9,25,33,114,41.23,7.89,21.93,28.95
65,91,18,49,70,228,39.91,7.89,21.49,30.7
66,91,11,40,80,222,40.99,4.95,18.02,36.04
67,78,9,39,81,207,37.68,4.35,18.84,39.13
67-1,56,4,24,31,115,48.7,3.48,20.87,26.96
68,82,2,25,52,161,50.93,1.24,15.53,32.3
69,130,8,19,42,199,65.33,4.02,9.55,21.11
69-1,72,7,9,53,141,51.06,4.96,6.38,37.59
69-2,72,6,18,26,122,59.02,4.92,14.75,21.31
7,67,8,67,44,186,36.02,4.3,36.02,23.66
70,82,3,23,40,148,55.41,2.03,15.54,27.03
71,150,12,31,80,273,54.95,4.4,11.36,29.3
72,124,9,35,34,202,61.39,4.46,17.33,16.83
73,144,10,33,59,246,58.54,4.07,13.41,23.98
74,152,12,14,33,211,72.04,5.69,6.64,15.64
75,0,0,0,0,0,,,,
76,58,10,96,57,221,26.24,4.52,43.44,25.79
77,53,8,108,53,222,23.87,3.6,48.65,23.87
78,26,4,74,42,146,17.81,2.74,50.68,28.77
79,66,16,103,53,238,27.73,6.72,43.28,22.27
8,100,17,96,74,287,34.84,5.92,33.45,25.78
8-1,51,7,85,31,174,29.31,4.02,48.85,17.82
80,62,14,76,48,200,31.0,7.0,38.0,24.0
80-1,50,8,80,34,172,29.07,4.65,46.51,19.77
81,53,17,136,56,262,20.23,6.49,51.91,21.37
82,64,10,126,62,262,24.43,3.82,48.09,23.66
83,47,12,93,48,200,23.5,6.0,46.5,24.0
84,41,14,106,43,204,20.1,6.86,51.96,21.08
85,70,6,156,53,285,24.56,2.11,54.74,18.6
86,53,7,103,58,221,23.98,3.17,46.61,26.24
87,30,6,82,47,165,18.18,3.64,49.7,28.48
88,65,6,148,51,270,24.07,2.22,54.81,18.89
89,45,8,99,23,175,25.71,4.57,56.57,13.14
9,50,14,68,44,176,28.41,7.95,38.64,25.0
90,29,2,95,44,170,17.06,1.18,55.88,25.88
91,53,6,92,65,216,24.54,2.78,42.59,30.09
91-1,31,4,109,49,193,16.06,2.07,56.48,25.39
92,27,4,54,30,115,23.48,3.48,46.96,26.09
92-1,55,5,70,23,153,35.95,3.27,45.75,15.03
93,52,8,121,39,220,23.64,3.64,55.0,17.73
94,61,5,67,35,168,36.31,2.98,39.88,20.83
94-1,52,8,54,47,161,32.3,4.97,33.54,29.19
95,72,21,47,91,231,31.17,9.09,20.35,39.39
96,87,3,44,36,170,51.18,1.76,25.88,21.18
96-1,80,7,60,48,195,41.03,3.59,30.77,24.62
97,59,8,68,51,186,31.72,4.3,36.56,27.42
98,38,8,109,87,242,15.7,3.31,45.04,35.95
99,0,0,0,0,0,,,,
S/R 1,56,3,38,13,110,50.91,2.73,34.55,11.82
S/R 2,189,22,392,77,680,27.79,3.24,57.65,11.32
