District,Polling Station Number,Conservative,Green Party,Liberal,N.D.P.,Conservative (%),Green Party (%),Liberal (%),N.D.P. (%),Other (%)
13008,115,102,8,25,24,64.15,5.03,15.72,15.09,0.0
13008,116,98,7,46,29,54.44,3.89,25.56,16.11,0.0
13008,117,112,5,46,17,62.22,2.78,25.56,9.44,0.0
13008,118,114,3,53,15,61.62,1.62,28.65,8.11,0.0
13008,119,146,6,58,26,61.86,2.54,24.58,11.02,0.0
13008,12,91,9,51,47,45.96,4.55,25.76,23.74,0.0
13008,120,141,5,71,32,56.63,2.01,28.51,12.85,0.0
13008,121,77,4,41,27,51.68,2.68,27.52,18.12,0.0
13008,122,126,7,77,24,53.85,2.99,32.91,10.26,0.0
13008,123,88,14,78,46,38.94,6.19,34.51,20.35,0.0
13008,124,140,11,98,49,46.98,3.69,32.89,16.44,0.0
13008,125,63,17,70,48,31.82,8.59,35.35,24.24,0.0
13008,126,91,11,61,43,44.17,5.34,29.61,20.87,0.0
13008,127,78,16,68,43,38.05,7.8,33.17,20.98,0.0
13008,128,144,4,39,12,72.36,2.01,19.6,6.03,0.0
13008,129,91,5,31,8,67.41,3.7,22.96,5.93,0.0
13008,13,137,6,90,61,46.6,2.04,30.61,20.75,0.0
13008,130,62,4,21,5,67.39,4.35,22.83,5.43,0.0
13008,131,110,1,22,12,75.86,0.69,15.17,8.28,0.0
13008,132,80,1,13,9,77.67,0.97,12.62,8.74,0.0
13008,133,141,9,42,42,60.26,3.85,17.95,17.95,0.0
13008,134,159,4,23,25,75.36,1.9,10.9,11.85,0.0
13008,135,89,1,7,13,80.91,0.91,6.36,11.82,0.0
13008,136,166,4,46,30,67.48,1.63,18.7,12.2,0.0
13008,137,143,2,31,24,71.5,1.0,15.5,12.0,0.0
13008,138,98,0,6,4,90.74,0.0,5.56,3.7,0.0
13008,14,135,4,69,33,56.02,1.66,28.63,13.69,0.0
13008,15,108,5,50,36,54.27,2.51,25.13,18.09,0.0
13008,16,73,12,54,33,42.44,6.98,31.4,19.19,0.0
13008,17,143,2,34,22,71.14,1.0,16.92,10.95,0.0
13008,18,116,5,27,15,71.17,3.07,16.56,9.2,0.0
13008,19,127,0,14,16,80.89,0.0,8.92,10.19,0.0
13008,2,111,2,77,55,45.31,0.82,31.43,22.45,0.0
13008,20,81,1,17,15,71.05,0.88,14.91,13.16,0.0
13008,21,93,2,31,22,62.84,1.35,20.95,14.86,0.0
13008,22,127,3,44,24,64.14,1.52,22.22,12.12,0.0
13008,23,138,4,58,37,58.23,1.69,24.47,15.61,0.0
13008,24,131,5,70,45,52.19,1.99,27.89,17.93,0.0
13008,25,103,8,64,47,46.4,3.6,28.83,21.17,0.0
13008,26,118,2,103,92,37.46,0.63,32.7,29.21,0.0
13008,27,134,6,90,90,41.88,1.88,28.12,28.12,0.0
13008,28,148,6,102,79,44.18,1.79,30.45,23.58,0.0
13008,29,114,8,86,50,44.19,3.1,33.33,19.38,0.0
13008,3,126,9,90,38,47.91,3.42,34.22,14.45,0.0
13008,30,154,7,48,46,60.39,2.75,18.82,18.04,0.0
13008,31,183,4,46,37,67.78,1.48,17.04,13.7,0.0
13008,32,126,3,49,32,60.0,1.43,23.33,15.24,0.0
13008,33,101,2,43,28,58.05,1.15,24.71,16.09,0.0
13008,34,113,8,63,38,50.9,3.6,28.38,17.12,0.0
13008,35,111,5,54,24,57.22,2.58,27.84,12.37,0.0
13008,36,82,10,48,20,51.25,6.25,30.0,12.5,0.0
13008,37,97,6,77,59,40.59,2.51,32.22,24.69,0.0
13008,38,78,8,38,25,52.35,5.37,25.5,16.78,-0.0
13008,39,85,8,44,42,47.49,4.47,24.58,23.46,0.0
13008,4,151,10,135,84,39.74,2.63,35.53,22.11,0.0
13008,40,159,26,75,55,50.48,8.25,23.81,17.46,0.0
13008,41,99,7,34,39,55.31,3.91,18.99,21.79,0.0
13008,42,54,6,42,21,43.9,4.88,34.15,17.07,0.0
13008,43,131,3,54,32,59.55,1.36,24.55,14.55,0.0
13008,44,153,10,91,45,51.17,3.34,30.43,15.05,0.0
13008,45,96,6,30,25,61.15,3.82,19.11,15.92,0.0
13008,46,84,7,45,50,45.16,3.76,24.19,26.88,0.0
13008,47,94,9,51,68,42.34,4.05,22.97,30.63,0.0
13008,48,101,12,82,53,40.73,4.84,33.06,21.37,0.0
13008,49,87,4,59,56,42.23,1.94,28.64,27.18,0.0
13008,5,116,11,150,77,32.77,3.11,42.37,21.75,0.0
13008,50,124,3,36,38,61.69,1.49,17.91,18.91,0.0
13008,500,18,1,12,6,48.65,2.7,32.43,16.22,0.0
13008,501,27,3,21,10,44.26,4.92,34.43,16.39,0.0
13008,502,44,3,27,6,55.0,3.75,33.75,7.5,0.0
13008,503,30,2,8,5,66.67,4.44,17.78,11.11,0.0
13008,51,125,11,45,52,53.65,4.72,19.31,22.32,0.0
13008,52,69,10,32,31,48.59,7.04,22.54,21.83,0.0
13008,53,179,9,91,70,51.29,2.58,26.07,20.06,0.0
13008,54,0,0,0,0,,,,,
13008,55,140,4,77,67,48.61,1.39,26.74,23.26,0.0
13008,56,179,5,69,59,57.37,1.6,22.12,18.91,0.0
13008,57,92,3,58,29,50.55,1.65,31.87,15.93,0.0
13008,58,109,0,38,29,61.93,0.0,21.59,16.48,0.0
13008,59,68,2,39,18,53.54,1.57,30.71,14.17,0.0
13008,6,86,3,83,67,35.98,1.26,34.73,28.03,0.0
13008,60,94,6,59,42,46.77,2.99,29.35,20.9,0.0
13008,600,209,17,164,67,45.73,3.72,35.89,14.66,0.0
13008,601,28,2,28,10,41.18,2.94,41.18,14.71,0.0
13008,602,73,0,17,4,77.66,0.0,18.09,4.26,0.0
13008,603,59,4,38,2,57.28,3.88,36.89,1.94,0.0
13008,604,61,3,22,6,66.3,3.26,23.91,6.52,0.0
13008,605,52,4,27,10,55.91,4.3,29.03,10.75,0.0
13008,606,111,9,72,9,55.22,4.48,35.82,4.48,0.0
13008,607,135,10,60,16,61.09,4.52,27.15,7.24,0.0
13008,608,82,0,20,8,74.55,0.0,18.18,7.27,0.0
13008,609,308,25,150,64,56.31,4.57,27.42,11.7,0.0
13008,61,131,4,53,46,55.98,1.71,22.65,19.66,0.0
13008,610,167,3,84,18,61.4,1.1,30.88,6.62,0.0
13008,611,159,4,108,13,55.99,1.41,38.03,4.58,0.0
13008,612,115,2,40,14,67.25,1.17,23.39,8.19,0.0
13008,613,145,5,69,8,63.88,2.2,30.4,3.52,0.0
13008,614,109,17,74,28,47.81,7.46,32.46,12.28,0.0
13008,615,31,0,19,3,58.49,0.0,35.85,5.66,0.0
13008,616,39,0,13,2,72.22,0.0,24.07,3.7,0.0
13008,617,115,5,32,8,71.88,3.12,20.0,5.0,0.0
13008,62,94,3,24,34,60.65,1.94,15.48,21.94,0.0
13008,63,86,7,53,72,39.45,3.21,24.31,33.03,0.0
13008,64,133,8,57,93,45.7,2.75,19.59,31.96,0.0
13008,65,92,5,42,43,50.55,2.75,23.08,23.63,0.0
13008,66,80,6,38,37,49.69,3.73,23.6,22.98,0.0
13008,67,101,5,59,24,53.44,2.65,31.22,12.7,0.0
13008,68,134,13,99,62,43.51,4.22,32.14,20.13,0.0
13008,69,118,7,70,29,52.68,3.12,31.25,12.95,0.0
13008,7,59,3,50,26,42.75,2.17,36.23,18.84,0.0
13008,70,120,10,75,40,48.98,4.08,30.61,16.33,0.0
13008,71,82,6,40,47,46.86,3.43,22.86,26.86,0.0
13008,72,102,7,37,41,54.55,3.74,19.79,21.93,0.0
13008,73,160,9,92,66,48.93,2.75,28.13,20.18,0.0
13008,74,77,3,43,31,50.0,1.95,27.92,20.13,0.0
13008,75,110,3,66,70,44.18,1.2,26.51,28.11,0.0
13008,76,119,8,50,35,56.13,3.77,23.58,16.51,0.0
13008,77,87,3,38,23,57.62,1.99,25.17,15.23,0.0
13008,78,120,6,34,21,66.3,3.31,18.78,11.6,0.0
13008,79,152,4,84,34,55.47,1.46,30.66,12.41,0.0
13008,8,137,2,88,50,49.46,0.72,31.77,18.05,0.0
13008,80,89,2,49,17,56.69,1.27,31.21,10.83,0.0
13008,81,100,5,60,10,57.14,2.86,34.29,5.71,0.0
13008,82,165,7,76,28,59.78,2.54,27.54,10.14,0.0
13008,83,123,9,38,27,62.44,4.57,19.29,13.71,0.0
13008,84,113,4,61,21,56.78,2.01,30.65,10.55,0.0
13008,85,158,2,58,36,62.2,0.79,22.83,14.17,0.0
13008,86,140,7,62,15,62.5,3.12,27.68,6.7,0.0
13008,87,107,3,29,8,72.79,2.04,19.73,5.44,0.0
13008,88,191,8,64,31,64.97,2.72,21.77,10.54,0.0
13008,89,106,4,61,26,53.81,2.03,30.96,13.2,0.0
13008,9,159,9,142,61,42.86,2.43,38.27,16.44,0.0
13008,90,92,3,61,39,47.18,1.54,31.28,20.0,0.0
13008,91,128,3,60,13,62.75,1.47,29.41,6.37,0.0
13008,92,117,2,80,20,53.42,0.91,36.53,9.13,0.0
13008,93,151,5,94,19,56.13,1.86,34.94,7.06,0.0
13008,94,134,0,70,31,57.02,0.0,29.79,13.19,0.0
13008,95,109,1,45,18,63.01,0.58,26.01,10.4,0.0
13008,96,116,1,46,18,64.09,0.55,25.41,9.94,0.0
13008,97,145,2,24,19,76.32,1.05,12.63,10.0,-0.0
13008,98,139,3,27,25,71.65,1.55,13.92,12.89,0.0
13008,99,146,5,54,32,61.6,2.11,22.78,13.5,0.0
13008,S/R 1,56,8,25,6,58.95,8.42,26.32,6.32,0.0
13008,S/R 2,334,19,183,54,56.61,3.22,31.02,9.15,0.0
13009,1,104,7,138,39,36.11,2.43,47.92,13.54,0.0
13009,10,107,4,86,35,46.12,1.72,37.07,15.09,0.0
13009,100,16,3,29,11,27.12,5.08,49.15,18.64,0.0
13009,101,23,4,38,23,26.14,4.55,43.18,26.14,0.0
13009,102,29,6,45,15,30.53,6.32,47.37,15.79,0.0
13009,103,39,5,65,37,26.71,3.42,44.52,25.34,0.0
13009,104,25,1,45,23,26.6,1.06,47.87,24.47,0.0
13009,105,43,7,57,30,31.39,5.11,41.61,21.9,0.0
13009,106,20,7,43,34,19.23,6.73,41.35,32.69,0.0
13009,107,81,1,96,27,39.51,0.49,46.83,13.17,0.0
13009,108,51,4,87,30,29.65,2.33,50.58,17.44,0.0
13009,109,64,8,86,23,35.36,4.42,47.51,12.71,0.0
13009,11,86,3,59,32,47.78,1.67,32.78,17.78,0.0
13009,110,30,0,60,24,26.32,0.0,52.63,21.05,0.0
13009,111,30,3,55,27,26.09,2.61,47.83,23.48,0.0
13009,112,31,7,51,30,26.05,5.88,42.86,25.21,0.0
13009,113,59,6,77,41,32.24,3.28,42.08,22.4,0.0
13009,114,48,8,69,31,30.77,5.13,44.23,19.87,0.0
13009,115,24,4,56,43,18.9,3.15,44.09,33.86,0.0
13009,116,38,5,47,35,30.4,4.0,37.6,28.0,0.0
13009,117,19,6,49,14,21.59,6.82,55.68,15.91,0.0
13009,118,36,7,62,23,28.12,5.47,48.44,17.97,0.0
13009,119,38,1,64,33,27.94,0.74,47.06,24.26,0.0
13009,12,67,7,80,20,38.51,4.02,45.98,11.49,0.0
13009,120,61,3,83,33,33.89,1.67,46.11,18.33,0.0
13009,121,84,3,89,47,37.67,1.35,39.91,21.08,0.0
13009,122,82,5,91,34,38.68,2.36,42.92,16.04,0.0
13009,123,40,3,35,13,43.96,3.3,38.46,14.29,0.0
13009,124,51,5,55,35,34.93,3.42,37.67,23.97,0.0
13009,125,66,6,70,16,41.77,3.8,44.3,10.13,0.0
13009,126,49,2,36,25,43.75,1.79,32.14,22.32,0.0
13009,127,44,4,23,30,43.56,3.96,22.77,29.7,0.0
13009,128,51,3,33,28,44.35,2.61,28.7,24.35,0.0
13009,129,38,6,45,26,33.04,5.22,39.13,22.61,0.0
13009,13,112,2,110,26,44.8,0.8,44.0,10.4,0.0
13009,130,57,5,78,31,33.33,2.92,45.61,18.13,0.0
13009,131,72,6,94,26,36.36,3.03,47.47,13.13,0.0
13009,132,80,6,105,39,34.78,2.61,45.65,16.96,0.0
13009,133,46,7,67,39,28.93,4.4,42.14,24.53,0.0
13009,134,68,8,111,56,27.98,3.29,45.68,23.05,0.0
13009,135,99,2,115,21,41.77,0.84,48.52,8.86,0.0
13009,136,74,8,76,40,37.37,4.04,38.38,20.2,0.0
13009,137,28,3,54,32,23.93,2.56,46.15,27.35,0.0
13009,138,43,1,45,29,36.44,0.85,38.14,24.58,0.0
13009,139,77,2,89,16,41.85,1.09,48.37,8.7,0.0
13009,14,130,10,127,61,39.63,3.05,38.72,18.6,0.0
13009,140,99,4,92,35,43.04,1.74,40.0,15.22,0.0
13009,141,123,3,146,49,38.32,0.93,45.48,15.26,0.0
13009,142,153,4,169,34,42.5,1.11,46.94,9.44,0.0
13009,143,91,7,89,23,43.33,3.33,42.38,10.95,0.0
13009,144,88,0,78,14,48.89,0.0,43.33,7.78,0.0
13009,145,116,3,111,35,43.77,1.13,41.89,13.21,0.0
13009,146,145,8,185,34,38.98,2.15,49.73,9.14,0.0
13009,147,52,5,44,42,36.36,3.5,30.77,29.37,0.0
13009,148,75,9,97,54,31.91,3.83,41.28,22.98,0.0
13009,149,43,5,61,41,28.67,3.33,40.67,27.33,0.0
13009,15,153,2,110,50,48.57,0.63,34.92,15.87,0.0
13009,150,53,1,44,30,41.41,0.78,34.38,23.44,0.0
13009,151,36,1,37,14,40.91,1.14,42.05,15.91,0.0
13009,152,56,1,69,44,32.94,0.59,40.59,25.88,0.0
13009,153,56,1,72,28,35.67,0.64,45.86,17.83,0.0
13009,154,41,3,33,39,35.34,2.59,28.45,33.62,0.0
13009,155,77,4,92,33,37.38,1.94,44.66,16.02,0.0
13009,156,92,2,82,56,39.66,0.86,35.34,24.14,0.0
13009,157,62,4,86,51,30.54,1.97,42.36,25.12,0.0
13009,158,78,1,87,23,41.27,0.53,46.03,12.17,0.0
13009,159,129,6,148,59,37.72,1.75,43.27,17.25,0.0
13009,16,93,4,76,53,41.15,1.77,33.63,23.45,0.0
13009,160,65,2,105,33,31.71,0.98,51.22,16.1,0.0
13009,161,113,2,115,31,43.3,0.77,44.06,11.88,0.0
13009,162,58,6,65,23,38.16,3.95,42.76,15.13,0.0
13009,163,75,6,66,53,37.5,3.0,33.0,26.5,0.0
13009,164,83,7,116,44,33.2,2.8,46.4,17.6,0.0
13009,165,83,6,60,34,45.36,3.28,32.79,18.58,0.0
13009,166,59,6,57,47,34.91,3.55,33.73,27.81,0.0
13009,167,84,10,71,24,44.44,5.29,37.57,12.7,0.0
13009,168,133,6,58,40,56.12,2.53,24.47,16.88,0.0
13009,169,93,5,83,31,43.87,2.36,39.15,14.62,0.0
13009,17,106,4,96,22,46.49,1.75,42.11,9.65,0.0
13009,170,98,5,93,41,41.35,2.11,39.24,17.3,0.0
13009,171,64,6,45,27,45.07,4.23,31.69,19.01,0.0
13009,172,64,5,59,48,36.36,2.84,33.52,27.27,0.0
13009,18,151,2,145,14,48.4,0.64,46.47,4.49,0.0
13009,19,62,0,50,22,46.27,0.0,37.31,16.42,0.0
13009,2,85,4,100,39,37.28,1.75,43.86,17.11,0.0
13009,20,72,3,88,16,40.22,1.68,49.16,8.94,0.0
13009,21,119,4,107,16,48.37,1.63,43.5,6.5,0.0
13009,22,93,3,127,7,40.43,1.3,55.22,3.04,0.0
13009,23,105,3,120,14,43.39,1.24,49.59,5.79,0.0
13009,24,108,4,122,15,43.37,1.61,49.0,6.02,0.0
13009,25,114,5,114,32,43.02,1.89,43.02,12.08,0.0
13009,26,81,5,68,43,41.12,2.54,34.52,21.83,0.0
13009,27,91,5,76,35,43.96,2.42,36.71,16.91,0.0
13009,28,87,1,75,38,43.28,0.5,37.31,18.91,0.0
13009,29,120,4,113,38,43.64,1.45,41.09,13.82,0.0
13009,3,134,3,142,24,44.22,0.99,46.86,7.92,0.0
13009,30,75,3,55,25,47.47,1.9,34.81,15.82,0.0
13009,31,111,4,96,54,41.89,1.51,36.23,20.38,0.0
13009,32,32,4,41,24,31.68,3.96,40.59,23.76,0.0
13009,33,125,5,108,50,43.4,1.74,37.5,17.36,0.0
13009,34,82,5,79,23,43.39,2.65,41.8,12.17,0.0
13009,35,125,4,97,52,44.96,1.44,34.89,18.71,0.0
13009,36,47,1,24,23,49.47,1.05,25.26,24.21,0.0
13009,37,119,4,102,34,45.95,1.54,39.38,13.13,0.0
13009,38,66,7,80,25,37.08,3.93,44.94,14.04,0.0
13009,39,73,4,79,43,36.68,2.01,39.7,21.61,0.0
13009,4,131,10,91,35,49.06,3.75,34.08,13.11,0.0
13009,40,54,3,70,46,31.21,1.73,40.46,26.59,0.0
13009,41,57,5,35,43,40.71,3.57,25.0,30.71,0.0
13009,42,27,1,25,21,36.49,1.35,33.78,28.38,0.0
13009,43,138,4,112,58,44.23,1.28,35.9,18.59,0.0
13009,44,34,1,44,17,35.42,1.04,45.83,17.71,0.0
13009,45,62,3,55,36,39.74,1.92,35.26,23.08,0.0
13009,46,52,3,40,25,43.33,2.5,33.33,20.83,0.0
13009,47,80,2,94,31,38.65,0.97,45.41,14.98,0.0
13009,48,80,8,71,54,37.56,3.76,33.33,25.35,0.0
13009,49,66,0,56,15,48.18,0.0,40.88,10.95,0.0
13009,5,147,9,160,43,40.95,2.51,44.57,11.98,0.0
13009,50,112,4,91,28,47.66,1.7,38.72,11.91,0.0
13009,500,36,6,44,6,39.13,6.52,47.83,6.52,0.0
13009,501,60,5,54,14,45.11,3.76,40.6,10.53,0.0
13009,502,49,2,63,13,38.58,1.57,49.61,10.24,0.0
13009,503,23,1,84,1,21.1,0.92,77.06,0.92,0.0
13009,51,72,3,59,40,41.38,1.72,33.91,22.99,0.0
13009,52,144,5,99,57,47.21,1.64,32.46,18.69,0.0
13009,53,84,9,84,63,35.0,3.75,35.0,26.25,0.0
13009,54,61,1,68,37,36.53,0.6,40.72,22.16,0.0
13009,55,40,1,58,42,28.37,0.71,41.13,29.79,0.0
13009,56,60,5,58,32,38.71,3.23,37.42,20.65,0.0
13009,57,54,3,37,29,43.9,2.44,30.08,23.58,0.0
13009,58,20,3,19,17,33.9,5.08,32.2,28.81,0.0
13009,59,85,4,91,15,43.59,2.05,46.67,7.69,0.0
13009,6,130,8,102,32,47.79,2.94,37.5,11.76,0.0
13009,60,94,2,80,36,44.34,0.94,37.74,16.98,0.0
13009,600,278,7,196,39,53.46,1.35,37.69,7.5,0.0
13009,601,288,5,227,42,51.25,0.89,40.39,7.47,0.0
13009,602,201,9,175,39,47.41,2.12,41.27,9.2,0.0
13009,603,286,11,279,80,43.6,1.68,42.53,12.2,0.0
13009,604,54,4,57,21,39.71,2.94,41.91,15.44,0.0
13009,605,131,5,199,44,34.56,1.32,52.51,11.61,0.0
13009,606,244,6,274,52,42.36,1.04,47.57,9.03,0.0
13009,607,149,2,120,35,48.69,0.65,39.22,11.44,0.0
13009,608,310,16,223,78,49.44,2.55,35.57,12.44,0.0
13009,609,196,6,179,46,45.9,1.41,41.92,10.77,0.0
13009,61,85,11,109,38,34.98,4.53,44.86,15.64,0.0
13009,610,167,3,183,14,45.5,0.82,49.86,3.81,0.0
13009,62,58,2,80,33,33.53,1.16,46.24,19.08,0.0
13009,63,73,7,85,23,38.83,3.72,45.21,12.23,0.0
13009,64,106,4,80,31,47.96,1.81,36.2,14.03,0.0
13009,65,87,4,98,42,37.66,1.73,42.42,18.18,0.0
13009,66,45,1,46,28,37.5,0.83,38.33,23.33,0.0
13009,67,61,4,66,31,37.65,2.47,40.74,19.14,0.0
13009,68,56,8,65,42,32.75,4.68,38.01,24.56,0.0
13009,69,62,5,86,27,34.44,2.78,47.78,15.0,0.0
13009,7,106,4,125,26,40.61,1.53,47.89,9.96,0.0
13009,70,64,4,84,43,32.82,2.05,43.08,22.05,0.0
13009,71,66,4,60,35,40.0,2.42,36.36,21.21,0.0
13009,72,67,7,46,42,41.36,4.32,28.4,25.93,0.0
13009,73,76,1,58,43,42.7,0.56,32.58,24.16,0.0
13009,74,73,13,63,34,39.89,7.1,34.43,18.58,0.0
13009,75,112,11,127,79,34.04,3.34,38.6,24.01,0.0
13009,76,113,8,150,30,37.54,2.66,49.83,9.97,0.0
13009,77,124,5,131,18,44.6,1.8,47.12,6.47,0.0
13009,78,84,1,125,29,35.15,0.42,52.3,12.13,0.0
13009,79,32,8,61,24,25.6,6.4,48.8,19.2,0.0
13009,8,54,3,83,25,32.73,1.82,50.3,15.15,0.0
13009,80,180,3,191,22,45.45,0.76,48.23,5.56,0.0
13009,81,108,2,175,23,35.06,0.65,56.82,7.47,0.0
13009,82,91,3,107,21,40.99,1.35,48.2,9.46,0.0
13009,83,60,3,103,30,30.61,1.53,52.55,15.31,0.0
13009,84,108,1,110,32,43.03,0.4,43.82,12.75,0.0
13009,85,28,1,57,25,25.23,0.9,51.35,22.52,0.0
13009,86,49,1,48,26,39.52,0.81,38.71,20.97,0.0
13009,87,40,4,55,26,32.0,3.2,44.0,20.8,0.0
13009,88,54,5,81,22,33.33,3.09,50.0,13.58,0.0
13009,89,75,7,58,31,43.86,4.09,33.92,18.13,0.0
13009,9,107,11,106,39,40.68,4.18,40.3,14.83,0.0
13009,90,16,1,25,15,28.07,1.75,43.86,26.32,0.0
13009,91,42,3,67,37,28.19,2.01,44.97,24.83,0.0
13009,92,54,6,73,32,32.73,3.64,44.24,19.39,0.0
13009,93,35,3,63,28,27.13,2.33,48.84,21.71,0.0
13009,94,26,1,64,22,23.01,0.88,56.64,19.47,0.0
13009,95,33,5,77,34,22.15,3.36,51.68,22.82,0.0
13009,96,30,2,44,26,29.41,1.96,43.14,25.49,0.0
13009,97,81,5,95,45,35.84,2.21,42.04,19.91,0.0
13009,98,36,10,91,32,21.3,5.92,53.85,18.93,0.0
13009,99,78,3,130,27,32.77,1.26,54.62,11.34,0.0
13009,S/R 1,60,4,95,16,34.29,2.29,54.29,9.14,0.0
13009,S/R 2,476,19,923,129,30.77,1.23,59.66,8.34,0.0
13010,1,133,16,159,42,38.0,4.57,45.43,12.0,0.0
13010,10,79,13,147,33,29.04,4.78,54.04,12.13,0.0
13010,100,73,2,94,16,39.46,1.08,50.81,8.65,0.0
13010,101,70,2,78,18,41.67,1.19,46.43,10.71,0.0
13010,102,126,4,50,18,63.64,2.02,25.25,9.09,0.0
13010,103,74,5,66,11,47.44,3.21,42.31,7.05,0.0
13010,104,137,1,83,23,56.15,0.41,34.02,9.43,0.0
13010,105,68,3,27,9,63.55,2.8,25.23,8.41,0.0
13010,106,124,2,99,24,49.8,0.8,39.76,9.64,0.0
13010,107,98,5,135,18,38.28,1.95,52.73,7.03,0.0
13010,108,95,8,64,26,49.22,4.15,33.16,13.47,0.0
13010,109,130,2,64,20,60.19,0.93,29.63,9.26,0.0
13010,11,62,6,87,27,34.07,3.3,47.8,14.84,0.0
13010,110,105,5,49,16,60.0,2.86,28.0,9.14,0.0
13010,111,112,1,71,19,55.17,0.49,34.98,9.36,0.0
13010,112,171,3,104,30,55.52,0.97,33.77,9.74,0.0
13010,113,94,1,43,19,59.87,0.64,27.39,12.1,0.0
13010,114,163,6,92,29,56.21,2.07,31.72,10.0,-0.0
13010,115,135,4,76,30,55.1,1.63,31.02,12.24,0.0
13010,116,93,1,38,19,61.59,0.66,25.17,12.58,0.0
13010,117,124,2,37,11,71.26,1.15,21.26,6.32,0.0
13010,118,67,1,58,13,48.2,0.72,41.73,9.35,0.0
13010,119,80,5,40,20,55.17,3.45,27.59,13.79,0.0
13010,12,73,7,109,25,34.11,3.27,50.93,11.68,0.0
13010,120,65,5,86,36,33.85,2.6,44.79,18.75,0.0
13010,121,68,3,52,22,46.9,2.07,35.86,15.17,0.0
13010,122,40,0,54,12,37.74,0.0,50.94,11.32,0.0
13010,123,87,4,25,25,61.7,2.84,17.73,17.73,0.0
13010,124,131,5,73,31,54.58,2.08,30.42,12.92,0.0
13010,125,54,5,42,34,40.0,3.7,31.11,25.19,0.0
13010,126,85,1,43,38,50.9,0.6,25.75,22.75,0.0
13010,127,114,4,66,43,50.22,1.76,29.07,18.94,0.0
13010,128,153,11,128,52,44.48,3.2,37.21,15.12,0.0
13010,129,133,5,77,56,49.08,1.85,28.41,20.66,0.0
13010,13,63,9,91,16,35.2,5.03,50.84,8.94,0.0
13010,130,71,3,39,9,58.2,2.46,31.97,7.38,0.0
13010,131,57,7,33,34,43.51,5.34,25.19,25.95,0.0
13010,132,51,7,36,23,43.59,5.98,30.77,19.66,0.0
13010,133,104,7,57,37,50.73,3.41,27.8,18.05,0.0
13010,134,116,5,83,54,44.96,1.94,32.17,20.93,0.0
13010,135,185,8,138,73,45.79,1.98,34.16,18.07,0.0
13010,136,146,6,100,62,46.5,1.91,31.85,19.75,0.0
13010,137,182,4,125,60,49.06,1.08,33.69,16.17,0.0
13010,138,83,2,78,38,41.29,1.0,38.81,18.91,0.0
13010,139,74,2,56,14,50.68,1.37,38.36,9.59,0.0
13010,14,74,7,174,27,26.24,2.48,61.7,9.57,0.0
13010,140,102,3,35,24,62.2,1.83,21.34,14.63,0.0
13010,141,78,1,62,33,44.83,0.57,35.63,18.97,0.0
13010,142,100,5,33,66,49.02,2.45,16.18,32.35,0.0
13010,143,109,7,64,28,52.4,3.37,30.77,13.46,0.0
13010,144,92,4,43,32,53.8,2.34,25.15,18.71,0.0
13010,145,81,5,51,50,43.32,2.67,27.27,26.74,0.0
13010,146,110,5,87,26,48.25,2.19,38.16,11.4,0.0
13010,147,164,5,105,76,46.86,1.43,30.0,21.71,0.0
13010,148,116,6,93,42,45.14,2.33,36.19,16.34,0.0
13010,149,85,2,64,24,48.57,1.14,36.57,13.71,0.0
13010,15,88,3,130,29,35.2,1.2,52.0,11.6,0.0
13010,150,80,3,56,49,42.55,1.6,29.79,26.06,0.0
13010,151,81,6,57,32,46.02,3.41,32.39,18.18,0.0
13010,152,61,2,55,37,39.35,1.29,35.48,23.87,0.0
13010,153,153,1,98,47,51.17,0.33,32.78,15.72,0.0
13010,154,137,2,122,48,44.34,0.65,39.48,15.53,0.0
13010,155,161,6,136,64,43.87,1.63,37.06,17.44,0.0
13010,16,76,5,102,29,35.85,2.36,48.11,13.68,0.0
13010,17,41,9,84,23,26.11,5.73,53.5,14.65,0.0
13010,18,36,3,73,8,30.0,2.5,60.83,6.67,0.0
13010,19,31,6,85,15,22.63,4.38,62.04,10.95,0.0
13010,2,90,11,106,48,35.29,4.31,41.57,18.82,0.0
13010,20,39,7,83,34,23.93,4.29,50.92,20.86,0.0
13010,21,63,6,127,59,24.71,2.35,49.8,23.14,0.0
13010,22,60,5,98,21,32.61,2.72,53.26,11.41,0.0
13010,23,43,6,91,19,27.04,3.77,57.23,11.95,0.0
13010,24,45,6,109,17,25.42,3.39,61.58,9.6,0.0
13010,25,72,3,87,17,40.22,1.68,48.6,9.5,0.0
13010,26,60,0,87,22,35.5,0.0,51.48,13.02,0.0
13010,27,12,0,177,28,5.53,0.0,81.57,12.9,0.0
13010,28,39,1,51,5,40.62,1.04,53.12,5.21,0.0
13010,29,67,5,18,6,69.79,5.21,18.75,6.25,0.0
13010,3,95,11,89,32,41.85,4.85,39.21,14.1,0.0
13010,30,68,1,77,13,42.77,0.63,48.43,8.18,0.0
13010,31,28,1,58,11,28.57,1.02,59.18,11.22,0.0
13010,32,74,1,87,26,39.36,0.53,46.28,13.83,0.0
13010,33,55,0,99,17,32.16,0.0,57.89,9.94,0.0
13010,34,83,2,72,16,47.98,1.16,41.62,9.25,0.0
13010,35,49,0,45,5,49.49,0.0,45.45,5.05,0.0
13010,36,108,5,131,19,41.06,1.9,49.81,7.22,0.0
13010,37,13,0,10,16,33.33,0.0,25.64,41.03,0.0
13010,38,71,3,115,10,35.68,1.51,57.79,5.03,0.0
13010,39,40,4,75,14,30.08,3.01,56.39,10.53,0.0
