Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
130,48,9,1,34,54,146,32.88,6.16,0.68,23.29,36.99
131,67,9,0,21,72,169,39.64,5.33,0.0,12.43,42.6
132,83,9,1,51,71,215,38.6,4.19,0.47,23.72,33.02
133,74,9,3,8,45,139,53.24,6.47,2.16,5.76,32.37
134,92,9,5,24,64,194,47.42,4.64,2.58,12.37,32.99
135,127,11,0,68,83,289,43.94,3.81,0.0,23.53,28.72
136,85,5,1,26,58,175,48.57,2.86,0.57,14.86,33.14
137,42,2,0,13,39,96,43.75,2.08,0.0,13.54,40.62
138,40,3,0,10,52,105,38.1,2.86,0.0,9.52,49.52
139,104,6,1,27,53,191,54.45,3.14,0.52,14.14,27.75
14,129,14,2,28,88,261,49.43,5.36,0.77,10.73,33.72
140,119,5,0,24,57,205,58.05,2.44,0.0,11.71,27.8
141,81,2,1,22,64,170,47.65,1.18,0.59,12.94,37.65
141-1,95,4,3,29,54,185,51.35,2.16,1.62,15.68,29.19
142,167,7,1,51,61,287,58.19,2.44,0.35,17.77,21.25
143,95,6,2,28,50,181,52.49,3.31,1.1,15.47,27.62
144,72,4,1,25,57,159,45.28,2.52,0.63,15.72,35.85
145,115,6,0,39,68,228,50.44,2.63,0.0,17.11,29.82
146,111,2,1,19,57,190,58.42,1.05,0.53,10.0,30.0
146-1,91,0,2,18,39,150,60.67,0.0,1.33,12.0,26.0
147,38,2,3,6,71,120,31.67,1.67,2.5,5.0,59.17
148,88,4,5,16,73,186,47.31,2.15,2.69,8.6,39.25
149,51,1,0,12,53,117,43.59,0.85,0.0,10.26,45.3
15,182,6,3,31,81,303,60.07,1.98,0.99,10.23,26.73
150,51,4,4,7,30,96,53.12,4.17,4.17,7.29,31.25
151,92,12,1,24,102,231,39.83,5.19,0.43,10.39,44.16
152,0,0,0,0,0,0,,,,,
153,49,2,0,17,45,113,43.36,1.77,0.0,15.04,39.82
154,38,2,1,13,37,91,41.76,2.2,1.1,14.29,40.66
155,84,3,1,17,76,181,46.41,1.66,0.55,9.39,41.99
156,76,9,3,16,57,161,47.2,5.59,1.86,9.94,35.4
157,78,11,2,20,77,188,41.49,5.85,1.06,10.64,40.96
158,94,4,1,24,51,174,54.02,2.3,0.57,13.79,29.31
159,127,3,2,29,69,230,55.22,1.3,0.87,12.61,30.0
16,95,6,2,15,61,179,53.07,3.35,1.12,8.38,34.08
160,88,3,1,33,79,204,43.14,1.47,0.49,16.18,38.73
161,96,5,2,26,48,177,54.24,2.82,1.13,14.69,27.12
161-1,62,5,1,18,51,137,45.26,3.65,0.73,13.14,37.23
162,84,5,3,20,70,182,46.15,2.75,1.65,10.99,38.46
163,77,8,2,14,78,179,43.02,4.47,1.12,7.82,43.58
164,95,5,3,26,70,199,47.74,2.51,1.51,13.07,35.18
165,82,4,3,15,58,162,50.62,2.47,1.85,9.26,35.8
166,97,8,0,6,64,175,55.43,4.57,0.0,3.43,36.57
167,115,10,1,12,59,197,58.38,5.08,0.51,6.09,29.95
168,124,5,2,20,78,229,54.15,2.18,0.87,8.73,34.06
169,118,4,1,24,62,209,56.46,1.91,0.48,11.48,29.67
17,85,3,3,45,57,193,44.04,1.55,1.55,23.32,29.53
170,105,7,2,24,62,200,52.5,3.5,1.0,12.0,31.0
171,72,2,4,9,35,122,59.02,1.64,3.28,7.38,28.69
172,103,5,0,14,65,187,55.08,2.67,0.0,7.49,34.76
18,162,12,1,74,58,307,52.77,3.91,0.33,24.1,18.89
19,60,1,0,6,52,119,50.42,0.84,0.0,5.04,43.7
2,91,9,1,27,74,202,45.05,4.46,0.5,13.37,36.63
20,112,10,2,72,32,228,49.12,4.39,0.88,31.58,14.04
21,115,7,0,51,53,226,50.88,3.1,0.0,22.57,23.45
22,90,3,0,57,62,212,42.45,1.42,0.0,26.89,29.25
23,107,1,1,94,40,243,44.03,0.41,0.41,38.68,16.46
24,114,16,1,47,46,224,50.89,7.14,0.45,20.98,20.54
25,101,10,0,58,65,234,43.16,4.27,0.0,24.79,27.78
26,104,3,3,13,45,168,61.9,1.79,1.79,7.74,26.79
27,88,4,1,9,58,160,55.0,2.5,0.62,5.62,36.25
28,100,5,0,11,57,173,57.8,2.89,0.0,6.36,32.95
29,124,4,2,35,87,252,49.21,1.59,0.79,13.89,34.52
3,97,1,0,32,41,171,56.73,0.58,0.0,18.71,23.98
3-1,86,4,1,33,48,172,50.0,2.33,0.58,19.19,27.91
30,104,0,0,12,65,181,57.46,0.0,0.0,6.63,35.91
31,158,3,0,26,80,267,59.18,1.12,0.0,9.74,29.96
32,55,6,1,4,42,108,50.93,5.56,0.93,3.7,38.89
33,129,7,1,26,68,231,55.84,3.03,0.43,11.26,29.44
34,88,2,1,27,47,165,53.33,1.21,0.61,16.36,28.48
35,158,2,1,19,63,243,65.02,0.82,0.41,7.82,25.93
36,60,1,0,5,40,106,56.6,0.94,0.0,4.72,37.74
37,131,4,3,19,70,227,57.71,1.76,1.32,8.37,30.84
38,77,5,1,17,44,144,53.47,3.47,0.69,11.81,30.56
39,88,5,1,26,69,189,46.56,2.65,0.53,13.76,36.51
4,100,3,1,34,68,206,48.54,1.46,0.49,16.5,33.01
40,75,5,0,23,44,147,51.02,3.4,0.0,15.65,29.93
41,52,2,2,6,45,107,48.6,1.87,1.87,5.61,42.06
42,34,0,1,3,30,68,50.0,0.0,1.47,4.41,44.12
43,119,4,1,43,81,248,47.98,1.61,0.4,17.34,32.66
44,43,8,1,6,48,106,40.57,7.55,0.94,5.66,45.28
45,59,2,2,11,51,125,47.2,1.6,1.6,8.8,40.8
46,52,3,1,11,42,109,47.71,2.75,0.92,10.09,38.53
47,71,3,2,24,51,151,47.02,1.99,1.32,15.89,33.77
48,98,4,2,16,57,177,55.37,2.26,1.13,9.04,32.2
49,71,2,0,17,44,134,52.99,1.49,0.0,12.69,32.84
5,164,10,4,60,95,333,49.25,3.0,1.2,18.02,28.53
50,147,7,0,51,86,291,50.52,2.41,0.0,17.53,29.55
500,44,7,4,17,19,91,48.35,7.69,4.4,18.68,20.88
501,61,4,3,34,13,115,53.04,3.48,2.61,29.57,11.3
502,44,4,6,22,14,90,48.89,4.44,6.67,24.44,15.56
503,26,2,4,54,15,101,25.74,1.98,3.96,53.47,14.85
504,50,4,2,29,12,97,51.55,4.12,2.06,29.9,12.37
51,87,6,1,19,53,166,52.41,3.61,0.6,11.45,31.93
52,161,4,6,30,83,284,56.69,1.41,2.11,10.56,29.23
53,119,7,5,25,95,251,47.41,2.79,1.99,9.96,37.85
54,50,1,2,26,50,129,38.76,0.78,1.55,20.16,38.76
55,52,1,2,13,60,128,40.62,0.78,1.56,10.16,46.88
56,49,1,0,9,60,119,41.18,0.84,0.0,7.56,50.42
57,31,6,2,8,44,91,34.07,6.59,2.2,8.79,48.35
58,35,3,1,6,27,72,48.61,4.17,1.39,8.33,37.5
59,88,7,0,22,56,173,50.87,4.05,0.0,12.72,32.37
6,175,7,1,21,92,296,59.12,2.36,0.34,7.09,31.08
60,114,3,2,16,81,216,52.78,1.39,0.93,7.41,37.5
600,390,15,2,145,141,693,56.28,2.16,0.29,20.92,20.35
601,363,20,1,178,85,647,56.11,3.09,0.15,27.51,13.14
602,229,5,1,46,55,336,68.15,1.49,0.3,13.69,16.37
603,315,8,7,94,111,535,58.88,1.5,1.31,17.57,20.75
604,118,11,2,40,41,212,55.66,5.19,0.94,18.87,19.34
605,168,11,9,105,127,420,40.0,2.62,2.14,25.0,30.24
606,193,13,1,92,68,367,52.59,3.54,0.27,25.07,18.53
607,249,8,2,115,90,464,53.66,1.72,0.43,24.78,19.4
608,422,15,4,129,146,716,58.94,2.09,0.56,18.02,20.39
609,271,11,7,79,102,470,57.66,2.34,1.49,16.81,21.7
61,87,4,1,21,81,194,44.85,2.06,0.52,10.82,41.75
610,284,3,1,88,75,451,62.97,0.67,0.22,19.51,16.63
611,180,4,2,34,36,256,70.31,1.56,0.78,13.28,14.06
612,182,9,3,48,66,308,59.09,2.92,0.97,15.58,21.43
613,172,10,2,90,78,352,48.86,2.84,0.57,25.57,22.16
62,68,4,0,11,51,134,50.75,2.99,0.0,8.21,38.06
63,79,4,1,11,51,146,54.11,2.74,0.68,7.53,34.93
64,133,4,1,31,56,225,59.11,1.78,0.44,13.78,24.89
65,98,3,4,34,52,191,51.31,1.57,2.09,17.8,27.23
66,34,1,1,13,31,80,42.5,1.25,1.25,16.25,38.75
67,69,9,1,17,72,168,41.07,5.36,0.6,10.12,42.86
68,75,3,3,18,79,178,42.13,1.69,1.69,10.11,44.38
69,74,0,1,18,44,137,54.01,0.0,0.73,13.14,32.12
7,136,4,0,43,77,260,52.31,1.54,0.0,16.54,29.62
70,60,8,0,15,52,135,44.44,5.93,0.0,11.11,38.52
71,72,2,2,15,33,124,58.06,1.61,1.61,12.1,26.61
72,58,6,0,12,58,134,43.28,4.48,0.0,8.96,43.28
73,55,1,2,12,68,138,39.86,0.72,1.45,8.7,49.28
74,96,11,2,11,58,178,53.93,6.18,1.12,6.18,32.58
75,117,8,3,22,108,258,45.35,3.1,1.16,8.53,41.86
76,123,7,0,48,66,244,50.41,2.87,0.0,19.67,27.05
77,115,5,3,57,59,239,48.12,2.09,1.26,23.85,24.69
78,82,8,2,40,66,198,41.41,4.04,1.01,20.2,33.33
79,37,3,1,13,39,93,39.78,3.23,1.08,13.98,41.94
8,63,5,1,21,64,154,40.91,3.25,0.65,13.64,41.56
80,213,1,2,76,61,353,60.34,0.28,0.57,21.53,17.28
81,140,9,1,64,67,281,49.82,3.2,0.36,22.78,23.84
82,131,6,3,53,68,261,50.19,2.3,1.15,20.31,26.05
83,95,3,1,32,44,175,54.29,1.71,0.57,18.29,25.14
84,143,4,2,62,71,282,50.71,1.42,0.71,21.99,25.18
85,43,2,0,23,46,114,37.72,1.75,0.0,20.18,40.35
86,28,1,1,5,24,59,47.46,1.69,1.69,8.47,40.68
87,46,3,0,19,37,105,43.81,2.86,0.0,18.1,35.24
88,54,4,0,36,54,148,36.49,2.7,0.0,24.32,36.49
89,77,3,1,39,92,212,36.32,1.42,0.47,18.4,43.4
9,130,15,2,39,66,252,51.59,5.95,0.79,15.48,26.19
90,0,0,0,0,0,0,,,,,
91,43,3,1,18,45,110,39.09,2.73,0.91,16.36,40.91
92,71,6,1,22,41,141,50.35,4.26,0.71,15.6,29.08
93,46,5,0,15,43,109,42.2,4.59,0.0,13.76,39.45
94,30,3,2,18,17,70,42.86,4.29,2.86,25.71,24.29
95,48,6,0,16,53,123,39.02,4.88,0.0,13.01,43.09
96,35,4,2,4,27,72,48.61,5.56,2.78,5.56,37.5
97,76,6,0,23,63,168,45.24,3.57,0.0,13.69,37.5
98,60,8,0,19,56,143,41.96,5.59,0.0,13.29,39.16
99,100,11,1,36,74,222,45.05,4.95,0.45,16.22,33.33
S/R 1,112,6,2,77,29,226,49.56,2.65,0.88,34.07,12.83
S/R 2,484,18,5,251,124,882,54.88,2.04,0.57,28.46,14.06
