Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
1,113,6,2,34,65,220,51.36,2.73,0.91,15.45,29.55
10,115,6,1,30,64,216,53.24,2.78,0.46,13.89,29.63
100,11,3,1,8,28,51,21.57,5.88,1.96,15.69,54.9
101,35,1,0,11,30,77,45.45,1.3,0.0,14.29,38.96
102,17,8,0,15,41,81,20.99,9.88,0.0,18.52,50.62
103,33,3,0,24,37,97,34.02,3.09,0.0,24.74,38.14
104,31,2,1,9,34,77,40.26,2.6,1.3,11.69,44.16
105,33,5,0,17,51,106,31.13,4.72,0.0,16.04,48.11
106,18,3,0,15,44,80,22.5,3.75,0.0,18.75,55.0
107,70,7,0,37,67,181,38.67,3.87,0.0,20.44,37.02
108,48,4,2,42,58,154,31.17,2.6,1.3,27.27,37.66
109,72,7,0,33,92,204,35.29,3.43,0.0,16.18,45.1
11,74,0,1,16,51,142,52.11,0.0,0.7,11.27,35.92
110,24,8,0,29,63,124,19.35,6.45,0.0,23.39,50.81
111,21,2,3,17,61,104,20.19,1.92,2.88,16.35,58.65
112,23,4,0,16,48,91,25.27,4.4,0.0,17.58,52.75
113,36,4,0,33,84,157,22.93,2.55,0.0,21.02,53.5
114,45,8,1,35,72,161,27.95,4.97,0.62,21.74,44.72
115,33,5,0,22,52,112,29.46,4.46,0.0,19.64,46.43
116,47,4,0,13,59,123,38.21,3.25,0.0,10.57,47.97
117,19,1,0,13,42,75,25.33,1.33,0.0,17.33,56.0
118,30,3,1,20,46,100,30.0,3.0,1.0,20.0,46.0
119,42,1,2,11,43,99,42.42,1.01,2.02,11.11,43.43
12,70,6,0,23,46,145,48.28,4.14,0.0,15.86,31.72
120,83,3,1,25,59,171,48.54,1.75,0.58,14.62,34.5
121,86,3,3,18,55,165,52.12,1.82,1.82,10.91,33.33
122,76,3,1,23,70,173,43.93,1.73,0.58,13.29,40.46
123,36,1,7,6,25,75,48.0,1.33,9.33,8.0,33.33
124,55,1,1,12,55,124,44.35,0.81,0.81,9.68,44.35
125,58,6,1,10,48,123,47.15,4.88,0.81,8.13,39.02
126,39,2,2,4,22,69,56.52,2.9,2.9,5.8,31.88
127,28,3,1,3,27,62,45.16,4.84,1.61,4.84,43.55
128,37,3,1,10,34,85,43.53,3.53,1.18,11.76,40.0
129,35,2,0,6,23,66,53.03,3.03,0.0,9.09,34.85
13,138,4,0,37,71,250,55.2,1.6,0.0,14.8,28.4
