Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
20,60,7,22,70,159,37.74,4.4,13.84,44.03
21,127,8,81,59,275,46.18,2.91,29.45,21.45
22,29,4,7,27,67,43.28,5.97,10.45,40.3
23,53,6,33,42,134,39.55,4.48,24.63,31.34
24,124,16,67,64,271,45.76,5.9,24.72,23.62
25,122,12,84,83,301,40.53,3.99,27.91,27.57
26,61,3,41,58,163,37.42,1.84,25.15,35.58
27,79,9,19,49,156,50.64,5.77,12.18,31.41
28,48,7,37,49,141,34.04,4.96,26.24,34.75
29,49,3,21,31,104,47.12,2.88,20.19,29.81
3,101,11,74,65,251,40.24,4.38,29.48,25.9
30,44,0,22,38,104,42.31,0.0,21.15,36.54
31,42,3,28,41,114,36.84,2.63,24.56,35.96
32,53,9,27,44,133,39.85,6.77,20.3,33.08
33,34,4,12,16,66,51.52,6.06,18.18,24.24
34,70,2,42,47,161,43.48,1.24,26.09,29.19
34-1,81,6,33,46,166,48.8,3.61,19.88,27.71
35,74,8,66,79,227,32.6,3.52,29.07,34.8
36,50,2,33,43,128,39.06,1.56,25.78,33.59
37,35,6,37,46,124,28.23,4.84,29.84,37.1
38,37,13,29,68,147,25.17,8.84,19.73,46.26
39,84,12,58,49,203,41.38,5.91,28.57,24.14
4,119,12,45,60,236,50.42,5.08,19.07,25.42
40,52,3,46,38,139,37.41,2.16,33.09,27.34
400,199,9,57,33,298,66.78,3.02,19.13,11.07
401,36,7,57,37,137,26.28,5.11,41.61,27.01
402,36,2,25,7,70,51.43,2.86,35.71,10.0
41,53,4,48,62,167,31.74,2.4,28.74,37.13
42,53,10,41,50,154,34.42,6.49,26.62,32.47
43,49,6,51,67,173,28.32,3.47,29.48,38.73
44,30,4,33,63,130,23.08,3.08,25.38,48.46
45,35,10,36,39,120,29.17,8.33,30.0,32.5
46,18,2,35,37,92,19.57,2.17,38.04,40.22
47,24,9,23,42,98,24.49,9.18,23.47,42.86
48,45,16,69,67,197,22.84,8.12,35.03,34.01
49,37,8,56,60,161,22.98,4.97,34.78,37.27
5,117,5,61,49,232,50.43,2.16,26.29,21.12
50,38,12,46,47,143,26.57,8.39,32.17,32.87
500,43,2,37,15,97,44.33,2.06,38.14,15.46
501,60,4,37,23,124,48.39,3.23,29.84,18.55
502,23,2,69,14,108,21.3,1.85,63.89,12.96
503,40,7,62,19,128,31.25,5.47,48.44,14.84
504,15,4,40,14,73,20.55,5.48,54.79,19.18
505,44,4,30,7,85,51.76,4.71,35.29,8.24
506,40,1,66,16,123,32.52,0.81,53.66,13.01
507,47,5,79,23,154,30.52,3.25,51.3,14.94
508,35,4,22,10,71,49.3,5.63,30.99,14.08
51,45,6,71,36,158,28.48,3.8,44.94,22.78
52,27,14,110,48,199,13.57,7.04,55.28,24.12
53,36,9,102,99,246,14.63,3.66,41.46,40.24
54,51,9,68,69,197,25.89,4.57,34.52,35.03
55,86,14,58,78,236,36.44,5.93,24.58,33.05
56,96,8,131,83,318,30.19,2.52,41.19,26.1
57,109,14,64,111,298,36.58,4.7,21.48,37.25
58,103,19,66,133,321,32.09,5.92,20.56,41.43
59,64,7,54,80,205,31.22,3.41,26.34,39.02
59-1,80,6,55,64,205,39.02,2.93,26.83,31.22
6,125,8,79,117,329,37.99,2.43,24.01,35.56
6-1,70,2,26,39,137,51.09,1.46,18.98,28.47
60,84,11,42,56,193,43.52,5.7,21.76,29.02
600,448,22,247,141,858,52.21,2.56,28.79,16.43
601,244,14,195,127,580,42.07,2.41,33.62,21.9
602,335,20,274,134,763,43.91,2.62,35.91,17.56
603,109,24,237,99,469,23.24,5.12,50.53,21.11
604,197,17,171,74,459,42.92,3.7,37.25,16.12
605,299,20,303,143,765,39.08,2.61,39.61,18.69
606,335,28,189,90,642,52.18,4.36,29.44,14.02
607,281,39,274,154,748,37.57,5.21,36.63,20.59
608,319,25,135,85,564,56.56,4.43,23.94,15.07
609,238,33,479,207,957,24.87,3.45,50.05,21.63
61,108,9,92,155,364,29.67,2.47,25.27,42.58
61-1,88,8,73,27,196,44.9,4.08,37.24,13.78
610,133,18,348,152,651,20.43,2.76,53.46,23.35
611,295,28,227,119,669,44.1,4.19,33.93,17.79
612,126,12,149,112,399,31.58,3.01,37.34,28.07
613,264,28,115,74,481,54.89,5.82,23.91,15.38
614,136,23,263,138,560,24.29,4.11,46.96,24.64
62,123,7,131,83,344,35.76,2.03,38.08,24.13
63,113,7,107,73,300,37.67,2.33,35.67,24.33
63-1,61,2,66,51,180,33.89,1.11,36.67,28.33
64,94,5,60,55,214,43.93,2.34,28.04,25.7
65,85,16,50,87,238,35.71,6.72,21.01,36.55
66,17,5,16,23,61,27.87,8.2,26.23,37.7
67,53,3,61,51,168,31.55,1.79,36.31,30.36
68,60,8,60,73,201,29.85,3.98,29.85,36.32
69,63,2,51,40,156,40.38,1.28,32.69,25.64
7,102,7,39,70,218,46.79,3.21,17.89,32.11
70,70,10,65,77,222,31.53,4.5,29.28,34.68
71,47,3,39,53,142,33.1,2.11,27.46,37.32
72,37,4,48,66,155,23.87,2.58,30.97,42.58
73,41,11,49,92,193,21.24,5.7,25.39,47.67
74,23,0,36,32,91,25.27,0.0,39.56,35.16
75,18,5,31,66,120,15.0,4.17,25.83,55.0
76,50,2,24,59,135,37.04,1.48,17.78,43.7
77,55,5,32,59,151,36.42,3.31,21.19,39.07
78,36,11,53,78,178,20.22,6.18,29.78,43.82
79,28,4,44,47,123,22.76,3.25,35.77,38.21
8,112,15,65,68,260,43.08,5.77,25.0,26.15
80,41,12,81,112,246,16.67,4.88,32.93,45.53
81,45,9,43,57,154,29.22,5.84,27.92,37.01
82,14,9,32,41,96,14.58,9.38,33.33,42.71
83,67,6,69,74,216,31.02,2.78,31.94,34.26
84,47,6,67,61,181,25.97,3.31,37.02,33.7
85,61,9,42,45,157,38.85,5.73,26.75,28.66
86,71,12,73,102,258,27.52,4.65,28.29,39.53
87,72,10,55,76,213,33.8,4.69,25.82,35.68
88,57,7,65,51,180,31.67,3.89,36.11,28.33
89,62,9,52,93,216,28.7,4.17,24.07,43.06
9,140,16,104,168,428,32.71,3.74,24.3,39.25
90,139,13,51,85,288,48.26,4.51,17.71,29.51
91,50,4,20,39,113,44.25,3.54,17.7,34.51
92,141,8,38,54,241,58.51,3.32,15.77,22.41
93,71,11,23,76,181,39.23,6.08,12.71,41.99
94,95,15,34,52,196,48.47,7.65,17.35,26.53
95,125,6,87,40,258,48.45,2.33,33.72,15.5
96,77,8,28,54,167,46.11,4.79,16.77,32.34
97,41,11,27,58,137,29.93,8.03,19.71,42.34
98,47,5,36,62,150,31.33,3.33,24.0,41.33
99,72,2,76,70,220,32.73,0.91,34.55,31.82
S/R 1,115,12,96,16,239,48.12,5.02,40.17,6.69
S/R 2,319,26,337,121,803,39.73,3.24,41.97,15.07
