Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
1,188,13,89,91,381,49.34,3.41,23.36,23.88
10,99,13,84,98,294,33.67,4.42,28.57,33.33
10-1,167,17,103,149,436,38.3,3.9,23.62,34.17
100,26,9,60,61,156,16.67,5.77,38.46,39.1
101,29,14,71,79,193,15.03,7.25,36.79,40.93
102,29,9,38,65,141,20.57,6.38,26.95,46.1
103,22,12,64,43,141,15.6,8.51,45.39,30.5
104,22,15,65,41,143,15.38,10.49,45.45,28.67
105,15,4,31,38,88,17.05,4.55,35.23,43.18
106,23,8,38,51,120,19.17,6.67,31.67,42.5
107,24,7,25,40,96,25.0,7.29,26.04,41.67
108,21,4,22,16,63,33.33,6.35,34.92,25.4
109,12,3,23,18,56,21.43,5.36,41.07,32.14
11,66,5,44,39,154,42.86,3.25,28.57,25.32
110,16,6,40,54,116,13.79,5.17,34.48,46.55
111,50,5,45,45,145,34.48,3.45,31.03,31.03
112,37,9,62,57,165,22.42,5.45,37.58,34.55
113,48,14,39,72,173,27.75,8.09,22.54,41.62
114,37,8,34,36,115,32.17,6.96,29.57,31.3
115,43,14,29,63,149,28.86,9.4,19.46,42.28
116,42,14,44,54,154,27.27,9.09,28.57,35.06
117,78,8,66,73,225,34.67,3.56,29.33,32.44
118,61,14,67,45,187,32.62,7.49,35.83,24.06
119,64,9,57,40,170,37.65,5.29,33.53,23.53
12,95,9,82,55,241,39.42,3.73,34.02,22.82
120,0,0,0,0,0,,,,
121,133,10,96,48,287,46.34,3.48,33.45,16.72
122,120,13,96,46,275,43.64,4.73,34.91,16.73
123,72,11,49,40,172,41.86,6.4,28.49,23.26
123-1,62,2,50,42,156,39.74,1.28,32.05,26.92
124,60,7,48,45,160,37.5,4.38,30.0,28.12
124-1,68,31,52,8,159,42.77,19.5,32.7,5.03
125,73,9,56,56,194,37.63,4.64,28.87,28.87
126,46,6,35,57,144,31.94,4.17,24.31,39.58
127,129,12,42,72,255,50.59,4.71,16.47,28.24
128,66,10,25,54,155,42.58,6.45,16.13,34.84
128-1,102,10,42,32,186,54.84,5.38,22.58,17.2
129,86,13,30,58,187,45.99,6.95,16.04,31.02
13,102,5,54,103,264,38.64,1.89,20.45,39.02
130,78,8,39,67,192,40.62,4.17,20.31,34.9
131,82,10,40,47,179,45.81,5.59,22.35,26.26
132,95,11,28,63,197,48.22,5.58,14.21,31.98
133,142,13,53,91,299,47.49,4.35,17.73,30.43
134,26,1,19,13,59,44.07,1.69,32.2,22.03
135,122,10,50,45,227,53.74,4.41,22.03,19.82
136,82,8,23,38,151,54.3,5.3,15.23,25.17
137,81,9,36,25,151,53.64,5.96,23.84,16.56
138,122,17,63,66,268,45.52,6.34,23.51,24.63
139,81,8,45,62,196,41.33,4.08,22.96,31.63
14,85,9,52,71,217,39.17,4.15,23.96,32.72
14-1,60,7,37,77,181,33.15,3.87,20.44,42.54
140,77,12,41,52,182,42.31,6.59,22.53,28.57
141,140,17,61,77,295,47.46,5.76,20.68,26.1
142,75,8,51,34,168,44.64,4.76,30.36,20.24
143,100,10,43,52,205,48.78,4.88,20.98,25.37
144,84,15,43,51,193,43.52,7.77,22.28,26.42
145,113,13,45,67,238,47.48,5.46,18.91,28.15
146,106,14,48,48,216,49.07,6.48,22.22,22.22
147,45,12,51,55,163,27.61,7.36,31.29,33.74
148,42,5,61,69,177,23.73,2.82,34.46,38.98
149,17,0,37,32,86,19.77,0.0,43.02,37.21
15,101,15,56,46,218,46.33,6.88,25.69,21.1
150,36,4,36,46,122,29.51,3.28,29.51,37.7
151,74,7,99,76,256,28.91,2.73,38.67,29.69
152,99,11,119,108,337,29.38,3.26,35.31,32.05
152-1,48,9,112,77,246,19.51,3.66,45.53,31.3
153,60,12,122,84,278,21.58,4.32,43.88,30.22
154,51,5,71,81,208,24.52,2.4,34.13,38.94
155,28,2,52,40,122,22.95,1.64,42.62,32.79
155-1,63,5,54,83,205,30.73,2.44,26.34,40.49
156,34,7,67,54,162,20.99,4.32,41.36,33.33
156-1,26,7,27,37,97,26.8,7.22,27.84,38.14
157,26,11,40,60,137,18.98,8.03,29.2,43.8
158,52,7,42,45,146,35.62,4.79,28.77,30.82
159,32,2,59,48,141,22.7,1.42,41.84,34.04
16,35,5,22,50,112,31.25,4.46,19.64,44.64
160,43,6,101,74,224,19.2,2.68,45.09,33.04
161,64,10,108,121,303,21.12,3.3,35.64,39.93
161-1,54,6,139,120,319,16.93,1.88,43.57,37.62
162,54,10,109,115,288,18.75,3.47,37.85,39.93
162-1,121,14,188,196,519,23.31,2.7,36.22,37.76
163,44,8,119,84,255,17.25,3.14,46.67,32.94
163-1,42,1,81,65,189,22.22,0.53,42.86,34.39
164,103,17,155,122,397,25.94,4.28,39.04,30.73
165,140,11,193,180,524,26.72,2.1,36.83,34.35
165-1,41,1,92,55,189,21.69,0.53,48.68,29.1
165-2,28,1,58,30,117,23.93,0.85,49.57,25.64
166,57,10,71,113,251,22.71,3.98,28.29,45.02
166-1,122,9,107,103,341,35.78,2.64,31.38,30.21
167,40,9,74,87,210,19.05,4.29,35.24,41.43
168,66,3,47,71,187,35.29,1.6,25.13,37.97
169,48,6,38,51,143,33.57,4.2,26.57,35.66
17,77,3,52,52,184,41.85,1.63,28.26,28.26
17-1,30,3,28,40,101,29.7,2.97,27.72,39.6
18,53,10,42,69,174,30.46,5.75,24.14,39.66
19,104,10,76,67,257,40.47,3.89,29.57,26.07
2,91,4,24,50,169,53.85,2.37,14.2,29.59
