Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
84,62,11,2,45,63,183,33.88,6.01,1.09,24.59,34.43
85,59,2,2,47,55,165,35.76,1.21,1.21,28.48,33.33
86,78,11,3,50,63,205,38.05,5.37,1.46,24.39,30.73
87,51,8,0,36,65,160,31.87,5.0,0.0,22.5,40.62
88,23,7,0,31,50,111,20.72,6.31,0.0,27.93,45.05
89,48,9,0,44,69,170,28.24,5.29,0.0,25.88,40.59
9,121,9,0,51,44,225,53.78,4.0,0.0,22.67,19.56
90,84,2,2,77,83,248,33.87,0.81,0.81,31.05,33.47
91,107,6,2,73,71,259,41.31,2.32,0.77,28.19,27.41
92,50,11,1,65,78,205,24.39,5.37,0.49,31.71,38.05
93,64,6,0,51,53,174,36.78,3.45,0.0,29.31,30.46
94,63,13,2,42,58,178,35.39,7.3,1.12,23.6,32.58
95,118,14,0,96,101,329,35.87,4.26,0.0,29.18,30.7
96,111,13,2,60,69,255,43.53,5.1,0.78,23.53,27.06
96-1,52,14,0,24,30,120,43.33,11.67,0.0,20.0,25.0
97,128,6,3,51,71,259,49.42,2.32,1.16,19.69,27.41
98,62,1,0,24,32,119,52.1,0.84,0.0,20.17,26.89
99,140,19,0,62,117,338,41.42,5.62,0.0,18.34,34.62
S/R 1,467,32,3,102,40,644,72.52,4.97,0.47,15.84,6.21
S/R 2,795,60,6,372,162,1395,56.99,4.3,0.43,26.67,11.61
