Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
1,20,2,1,43,41,107,18.69,1.87,0.93,40.19,38.32
10,35,3,0,22,21,81,43.21,3.7,0.0,27.16,25.93
100,71,2,4,41,17,135,52.59,1.48,2.96,30.37,12.59
101,76,0,1,61,14,152,50.0,0.0,0.66,40.13,9.21
102,86,6,3,59,24,178,48.31,3.37,1.69,33.15,13.48
103,84,1,6,37,17,145,57.93,0.69,4.14,25.52,11.72
104,40,3,1,20,4,68,58.82,4.41,1.47,29.41,5.88
105,56,2,2,36,29,125,44.8,1.6,1.6,28.8,23.2
106,66,1,2,62,17,148,44.59,0.68,1.35,41.89,11.49
107,92,3,8,48,36,187,49.2,1.6,4.28,25.67,19.25
108,59,3,2,51,17,132,44.7,2.27,1.52,38.64,12.88
109,82,4,2,45,24,157,52.23,2.55,1.27,28.66,15.29
11,57,2,5,58,47,169,33.73,1.18,2.96,34.32,27.81
11-1,14,2,1,11,40,68,20.59,2.94,1.47,16.18,58.82
110,48,0,4,38,16,106,45.28,0.0,3.77,35.85,15.09
111,51,3,6,21,9,90,56.67,3.33,6.67,23.33,10.0
112,63,2,7,46,17,135,46.67,1.48,5.19,34.07,12.59
113,72,4,4,55,36,171,42.11,2.34,2.34,32.16,21.05
114,75,2,3,67,24,171,43.86,1.17,1.75,39.18,14.04
115,71,5,8,51,14,149,47.65,3.36,5.37,34.23,9.4
116,0,0,0,0,0,0,,,,,
117,57,0,7,73,18,155,36.77,0.0,4.52,47.1,11.61
118,35,3,6,61,19,124,28.23,2.42,4.84,49.19,15.32
119,80,1,3,91,12,187,42.78,0.53,1.6,48.66,6.42
12,53,3,6,65,53,180,29.44,1.67,3.33,36.11,29.44
120,85,2,8,100,31,226,37.61,0.88,3.54,44.25,13.72
121,93,6,7,89,28,223,41.7,2.69,3.14,39.91,12.56
122,109,4,7,94,31,245,44.49,1.63,2.86,38.37,12.65
123,114,1,2,63,31,211,54.03,0.47,0.95,29.86,14.69
124,67,1,1,11,15,95,70.53,1.05,1.05,11.58,15.79
125,0,0,0,0,0,0,,,,,
126,101,0,1,79,30,211,47.87,0.0,0.47,37.44,14.22
127,103,1,4,85,23,216,47.69,0.46,1.85,39.35,10.65
128,113,3,7,66,22,211,53.55,1.42,3.32,31.28,10.43
129,44,2,10,73,18,147,29.93,1.36,6.8,49.66,12.24
13,66,12,3,49,70,200,33.0,6.0,1.5,24.5,35.0
130,68,2,17,62,24,173,39.31,1.16,9.83,35.84,13.87
131,100,0,12,68,24,204,49.02,0.0,5.88,33.33,11.76
132,94,0,4,55,13,166,56.63,0.0,2.41,33.13,7.83
133,73,3,8,72,38,194,37.63,1.55,4.12,37.11,19.59
134,38,5,14,44,23,124,30.65,4.03,11.29,35.48,18.55
135,126,9,15,31,37,218,57.8,4.13,6.88,14.22,16.97
136,86,3,9,39,28,165,52.12,1.82,5.45,23.64,16.97
137,46,1,5,29,23,104,44.23,0.96,4.81,27.88,22.12
138,98,4,5,37,26,170,57.65,2.35,2.94,21.76,15.29
139,85,3,2,28,23,141,60.28,2.13,1.42,19.86,16.31
14,54,8,1,30,37,130,41.54,6.15,0.77,23.08,28.46
140,72,2,4,39,21,138,52.17,1.45,2.9,28.26,15.22
141,56,0,3,61,14,134,41.79,0.0,2.24,45.52,10.45
142,68,1,5,63,36,173,39.31,0.58,2.89,36.42,20.81
143,84,6,7,71,18,186,45.16,3.23,3.76,38.17,9.68
144,81,1,3,69,13,167,48.5,0.6,1.8,41.32,7.78
145,0,0,0,0,0,0,,,,,
146,109,3,3,81,19,215,50.7,1.4,1.4,37.67,8.84
147,84,3,4,62,33,186,45.16,1.61,2.15,33.33,17.74
148,69,4,3,86,17,179,38.55,2.23,1.68,48.04,9.5
149,46,0,2,37,12,97,47.42,0.0,2.06,38.14,12.37
15,65,9,10,77,79,240,27.08,3.75,4.17,32.08,32.92
150,58,1,5,74,18,156,37.18,0.64,3.21,47.44,11.54
150-1,68,1,5,60,12,146,46.58,0.68,3.42,41.1,8.22
151,86,7,12,56,22,183,46.99,3.83,6.56,30.6,12.02
152,87,0,13,66,22,188,46.28,0.0,6.91,35.11,11.7
153,88,2,6,60,25,181,48.62,1.1,3.31,33.15,13.81
16,31,6,8,76,53,174,17.82,3.45,4.6,43.68,30.46
17,22,2,11,55,30,120,18.33,1.67,9.17,45.83,25.0
18,46,5,6,74,41,172,26.74,2.91,3.49,43.02,23.84
19,45,1,9,72,40,167,26.95,0.6,5.39,43.11,23.95
2,24,4,4,26,34,92,26.09,4.35,4.35,28.26,36.96
20,24,3,4,43,24,98,24.49,3.06,4.08,43.88,24.49
21,63,2,2,60,64,191,32.98,1.05,1.05,31.41,33.51
22,54,2,1,61,38,156,34.62,1.28,0.64,39.1,24.36
23,60,6,4,55,54,179,33.52,3.35,2.23,30.73,30.17
24,59,5,3,57,55,179,32.96,2.79,1.68,31.84,30.73
25,61,2,2,40,76,181,33.7,1.1,1.1,22.1,41.99
26,52,3,1,44,54,154,33.77,1.95,0.65,28.57,35.06
27,59,5,2,40,50,156,37.82,3.21,1.28,25.64,32.05
28,55,3,2,43,41,144,38.19,2.08,1.39,29.86,28.47
29,52,6,0,51,51,160,32.5,3.75,0.0,31.87,31.87
3,62,6,1,47,36,152,40.79,3.95,0.66,30.92,23.68
30,53,1,1,41,49,145,36.55,0.69,0.69,28.28,33.79
31,35,2,3,39,44,123,28.46,1.63,2.44,31.71,35.77
32,19,1,1,31,21,73,26.03,1.37,1.37,42.47,28.77
33,41,0,4,27,22,94,43.62,0.0,4.26,28.72,23.4
34,53,5,6,51,50,165,32.12,3.03,3.64,30.91,30.3
35,73,4,1,55,38,171,42.69,2.34,0.58,32.16,22.22
36,90,8,5,65,72,240,37.5,3.33,2.08,27.08,30.0
