Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
37,26,6,4,26,25,87,29.89,6.9,4.6,29.89,28.74
38,40,1,2,29,35,107,37.38,0.93,1.87,27.1,32.71
39,58,6,1,44,48,157,36.94,3.82,0.64,28.03,30.57
4,37,5,5,31,49,127,29.13,3.94,3.94,24.41,38.58
40,27,6,1,36,27,97,27.84,6.19,1.03,37.11,27.84
41,74,1,5,73,59,212,34.91,0.47,2.36,34.43,27.83
42,63,3,7,84,75,232,27.16,1.29,3.02,36.21,32.33
43,137,4,3,54,66,264,51.89,1.52,1.14,20.45,25.0
44,120,6,10,68,86,290,41.38,2.07,3.45,23.45,29.66
45,48,5,5,74,99,231,20.78,2.16,2.16,32.03,42.86
46,33,1,6,55,45,140,23.57,0.71,4.29,39.29,32.14
47,50,0,4,67,74,195,25.64,0.0,2.05,34.36,37.95
48,67,1,0,30,34,132,50.76,0.76,0.0,22.73,25.76
49,71,3,4,35,24,137,51.82,2.19,2.92,25.55,17.52
5,29,4,1,21,43,98,29.59,4.08,1.02,21.43,43.88
50,75,5,1,56,47,184,40.76,2.72,0.54,30.43,25.54
500,32,2,11,79,7,131,24.43,1.53,8.4,60.31,5.34
501,32,2,4,35,5,78,41.03,2.56,5.13,44.87,6.41
502,23,3,11,50,22,109,21.1,2.75,10.09,45.87,20.18
503,47,1,14,35,6,103,45.63,0.97,13.59,33.98,5.83
504,25,0,3,28,10,66,37.88,0.0,4.55,42.42,15.15
505,21,1,1,19,2,44,47.73,2.27,2.27,43.18,4.55
506,61,1,7,40,2,111,54.95,0.9,6.31,36.04,1.8
507,24,1,4,56,2,87,27.59,1.15,4.6,64.37,2.3
508,53,0,5,34,3,95,55.79,0.0,5.26,35.79,3.16
509,22,2,3,17,0,44,50.0,4.55,6.82,38.64,0.0
51,46,5,2,18,25,96,47.92,5.21,2.08,18.75,26.04
52,52,3,16,45,73,189,27.51,1.59,8.47,23.81,38.62
53,46,2,8,49,53,158,29.11,1.27,5.06,31.01,33.54
54,62,5,22,47,84,220,28.18,2.27,10.0,21.36,38.18
55,31,6,13,92,77,219,14.16,2.74,5.94,42.01,35.16
56,47,2,22,115,86,272,17.28,0.74,8.09,42.28,31.62
56-1,45,10,26,118,104,303,14.85,3.3,8.58,38.94,34.32
57,15,3,14,56,57,145,10.34,2.07,9.66,38.62,39.31
58,51,5,13,98,69,236,21.61,2.12,5.51,41.53,29.24
59,49,6,10,98,53,216,22.69,2.78,4.63,45.37,24.54
6,26,5,3,33,22,89,29.21,5.62,3.37,37.08,24.72
60,70,3,15,131,64,283,24.73,1.06,5.3,46.29,22.61
600,148,11,3,125,101,388,38.14,2.84,0.77,32.22,26.03
601,181,18,21,267,79,566,31.98,3.18,3.71,47.17,13.96
602,186,15,11,177,63,452,41.15,3.32,2.43,39.16,13.94
603,155,13,11,148,98,425,36.47,3.06,2.59,34.82,23.06
604,302,9,9,229,53,602,50.17,1.5,1.5,38.04,8.8
605,204,4,37,115,40,400,51.0,1.0,9.25,28.75,10.0
606,56,1,14,163,23,257,21.79,0.39,5.45,63.42,8.95
607,113,2,5,94,32,246,45.93,0.81,2.03,38.21,13.01
608,368,5,11,269,54,707,52.05,0.71,1.56,38.05,7.64
609,59,0,5,36,14,114,51.75,0.0,4.39,31.58,12.28
61,55,5,10,115,45,230,23.91,2.17,4.35,50.0,19.57
610,270,5,33,150,70,528,51.14,0.95,6.25,28.41,13.26
611,106,3,1,75,14,199,53.27,1.51,0.5,37.69,7.04
612,146,9,7,178,62,402,36.32,2.24,1.74,44.28,15.42
613,181,10,10,139,83,423,42.79,2.36,2.36,32.86,19.62
614,236,4,10,177,41,468,50.43,0.85,2.14,37.82,8.76
615,240,7,9,182,28,466,51.5,1.5,1.93,39.06,6.01
616,200,6,6,140,39,391,51.15,1.53,1.53,35.81,9.97
62,97,1,31,42,37,208,46.63,0.48,14.9,20.19,17.79
62-1,61,3,18,26,33,141,43.26,2.13,12.77,18.44,23.4
63,29,1,7,32,33,102,28.43,0.98,6.86,31.37,32.35
64,143,2,22,47,29,243,58.85,0.82,9.05,19.34,11.93
65,102,4,25,46,35,212,48.11,1.89,11.79,21.7,16.51
66,128,3,38,58,52,279,45.88,1.08,13.62,20.79,18.64
66-1,84,2,21,29,23,159,52.83,1.26,13.21,18.24,14.47
67,69,4,26,36,34,169,40.83,2.37,15.38,21.3,20.12
68,99,2,32,60,27,220,45.0,0.91,14.55,27.27,12.27
69,17,4,12,51,47,131,12.98,3.05,9.16,38.93,35.88
7,25,2,4,47,47,125,20.0,1.6,3.2,37.6,37.6
70,57,3,16,79,77,232,24.57,1.29,6.9,34.05,33.19
71,40,4,19,96,59,218,18.35,1.83,8.72,44.04,27.06
72,17,6,17,128,60,228,7.46,2.63,7.46,56.14,26.32
73,48,0,12,79,53,192,25.0,0.0,6.25,41.15,27.6
74,35,1,4,91,53,184,19.02,0.54,2.17,49.46,28.8
75,0,0,0,0,0,0,,,,,
76,54,2,7,96,21,180,30.0,1.11,3.89,53.33,11.67
77,88,3,8,85,26,210,41.9,1.43,3.81,40.48,12.38
78,100,5,8,86,43,242,41.32,2.07,3.31,35.54,17.77
79,61,1,3,56,34,155,39.35,0.65,1.94,36.13,21.94
8,33,2,1,30,43,109,30.28,1.83,0.92,27.52,39.45
80,84,1,2,86,25,198,42.42,0.51,1.01,43.43,12.63
81,27,0,1,25,6,59,45.76,0.0,1.69,42.37,10.17
82,120,7,6,85,34,252,47.62,2.78,2.38,33.73,13.49
83,99,3,0,71,30,203,48.77,1.48,0.0,34.98,14.78
84,104,3,6,65,25,203,51.23,1.48,2.96,32.02,12.32
85,62,1,1,47,17,128,48.44,0.78,0.78,36.72,13.28
86,97,3,2,74,20,196,49.49,1.53,1.02,37.76,10.2
87,97,1,6,58,19,181,53.59,0.55,3.31,32.04,10.5
88,63,0,4,53,22,142,44.37,0.0,2.82,37.32,15.49
89,0,0,0,0,0,0,,,,,
9,40,2,1,27,42,112,35.71,1.79,0.89,24.11,37.5
90,87,1,1,96,29,214,40.65,0.47,0.47,44.86,13.55
91,160,1,5,61,43,270,59.26,0.37,1.85,22.59,15.93
92,168,1,1,100,20,290,57.93,0.34,0.34,34.48,6.9
93,120,2,2,74,22,220,54.55,0.91,0.91,33.64,10.0
94,81,4,2,75,22,184,44.02,2.17,1.09,40.76,11.96
95,0,0,0,0,0,0,,,,,
96,106,1,0,62,18,187,56.68,0.53,0.0,33.16,9.63
97,82,2,0,44,23,151,54.3,1.32,0.0,29.14,15.23
98,98,4,6,68,13,189,51.85,2.12,3.17,35.98,6.88
99,79,2,0,43,16,140,56.43,1.43,0.0,30.71,11.43
S/R 1,66,4,5,40,13,128,51.56,3.12,3.91,31.25,10.16
S/R 2,496,13,9,419,77,1014,48.92,1.28,0.89,41.32,7.59
