Polling Station Number,Conservative,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Liberal (%),NDP-New Democratic Party (%)
81,7,11,75,93,7.53,11.83,80.65
82,32,7,115,154,20.78,4.55,74.68
83,45,9,95,149,30.2,6.04,63.76
84,47,16,181,244,19.26,6.56,74.18
85,32,15,144,191,16.75,7.85,75.39
86,33,13,201,247,13.36,5.26,81.38
87,12,7,86,105,11.43,6.67,81.9
88,93,5,100,198,46.97,2.53,50.51
89,61,21,53,135,45.19,15.56,39.26
9,20,26,141,187,10.7,13.9,75.4
90,6,6,84,96,6.25,6.25,87.5
91,23,20,163,206,11.17,9.71,79.13
92,17,23,136,176,9.66,13.07,77.27
93,14,17,125,156,8.97,10.9,80.13
94,12,27,165,204,5.88,13.24,80.88
95,16,17,119,152,10.53,11.18,78.29
96,8,11,120,139,5.76,7.91,86.33
97,13,19,148,180,7.22,10.56,82.22
98,21,31,171,223,9.42,13.9,76.68
99,24,26,177,227,10.57,11.45,77.97
S/R 1,56,24,58,138,40.58,17.39,42.03
S/R 2,186,232,657,1075,17.3,21.58,61.12
