Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
155-1,60,7,24,45,136,44.12,5.15,17.65,33.09
16,108,2,36,48,194,55.67,1.03,18.56,24.74
17,56,1,36,46,139,40.29,0.72,25.9,33.09
18,39,1,25,26,91,42.86,1.1,27.47,28.57
19,47,2,44,34,127,37.01,1.57,34.65,26.77
2,111,4,81,54,250,44.4,1.6,32.4,21.6
20,71,7,34,32,144,49.31,4.86,23.61,22.22
21,90,1,65,67,223,40.36,0.45,29.15,30.04
22,66,1,51,39,157,42.04,0.64,32.48,24.84
23,70,3,56,38,167,41.92,1.8,33.53,22.75
24,67,2,56,39,164,40.85,1.22,34.15,23.78
25,87,1,20,33,141,61.7,0.71,14.18,23.4
26,104,0,19,34,157,66.24,0.0,12.1,21.66
27,28,2,13,24,67,41.79,2.99,19.4,35.82
27-1,15,3,15,26,59,25.42,5.08,25.42,44.07
28,42,5,13,9,69,60.87,7.25,18.84,13.04
29,75,2,10,14,101,74.26,1.98,9.9,13.86
3,106,6,67,54,233,45.49,2.58,28.76,23.18
30,107,2,21,16,146,73.29,1.37,14.38,10.96
31,68,3,11,26,108,62.96,2.78,10.19,24.07
32,118,0,15,33,166,71.08,0.0,9.04,19.88
33,104,1,24,24,153,67.97,0.65,15.69,15.69
34,128,2,11,12,153,83.66,1.31,7.19,7.84
35,93,1,8,10,112,83.04,0.89,7.14,8.93
36,107,6,17,25,155,69.03,3.87,10.97,16.13
36-1,60,1,11,6,78,76.92,1.28,14.1,7.69
37,0,0,0,0,0,,,,
38,95,2,34,44,175,54.29,1.14,19.43,25.14
39,70,1,9,32,112,62.5,0.89,8.04,28.57
4,79,1,70,47,197,40.1,0.51,35.53,23.86
40,85,6,24,28,143,59.44,4.2,16.78,19.58
41,83,5,16,31,135,61.48,3.7,11.85,22.96
42,90,3,28,22,143,62.94,2.1,19.58,15.38
43,110,3,15,48,176,62.5,1.7,8.52,27.27
44,87,3,29,31,150,58.0,2.0,19.33,20.67
45,78,3,23,30,134,58.21,2.24,17.16,22.39
46,58,2,22,13,95,61.05,2.11,23.16,13.68
47,73,2,23,25,123,59.35,1.63,18.7,20.33
48,38,2,6,12,58,65.52,3.45,10.34,20.69
49,97,1,23,36,157,61.78,0.64,14.65,22.93
5,0,0,0,0,0,,,,
50,93,9,14,26,142,65.49,6.34,9.86,18.31
500,31,1,13,4,49,63.27,2.04,26.53,8.16
501,45,0,16,2,63,71.43,0.0,25.4,3.17
502,36,1,25,15,77,46.75,1.3,32.47,19.48
503,20,1,2,8,31,64.52,3.23,6.45,25.81
51,94,9,17,37,157,59.87,5.73,10.83,23.57
52,64,8,12,34,118,54.24,6.78,10.17,28.81
53,65,3,31,28,127,51.18,2.36,24.41,22.05
54,139,16,21,47,223,62.33,7.17,9.42,21.08
55,83,2,6,18,109,76.15,1.83,5.5,16.51
56,92,4,20,17,133,69.17,3.01,15.04,12.78
57,96,2,13,30,141,68.09,1.42,9.22,21.28
58,146,2,11,23,182,80.22,1.1,6.04,12.64
59,54,1,19,11,85,63.53,1.18,22.35,12.94
6,111,7,49,73,240,46.25,2.92,20.42,30.42
6-1,80,2,33,43,158,50.63,1.27,20.89,27.22
60,73,5,16,21,115,63.48,4.35,13.91,18.26
600,288,12,157,100,557,51.71,2.15,28.19,17.95
601,439,12,351,156,958,45.82,1.25,36.64,16.28
602,367,7,82,40,496,73.99,1.41,16.53,8.06
603,291,4,95,34,424,68.63,0.94,22.41,8.02
604,303,12,79,37,431,70.3,2.78,18.33,8.58
605,195,12,24,38,269,72.49,4.46,8.92,14.13
606,204,7,29,21,261,78.16,2.68,11.11,8.05
607,163,8,35,32,238,68.49,3.36,14.71,13.45
608,283,8,93,53,437,64.76,1.83,21.28,12.13
609,308,10,62,41,421,73.16,2.38,14.73,9.74
61,111,4,23,55,193,57.51,2.07,11.92,28.5
610,200,6,56,28,290,68.97,2.07,19.31,9.66
611,237,18,76,62,393,60.31,4.58,19.34,15.78
612,383,17,85,70,555,69.01,3.06,15.32,12.61
62,71,5,21,21,118,60.17,4.24,17.8,17.8
63,150,11,25,50,236,63.56,4.66,10.59,21.19
64,68,3,14,20,105,64.76,2.86,13.33,19.05
65,144,13,37,50,244,59.02,5.33,15.16,20.49
66,106,3,14,34,157,67.52,1.91,8.92,21.66
67,89,5,11,35,140,63.57,3.57,7.86,25.0
68,135,4,8,31,178,75.84,2.25,4.49,17.42
69,58,2,3,10,73,79.45,2.74,4.11,13.7
7,103,1,70,60,234,44.02,0.43,29.91,25.64
70,72,2,18,10,102,70.59,1.96,17.65,9.8
71,151,3,15,34,203,74.38,1.48,7.39,16.75
72,74,3,9,23,109,67.89,2.75,8.26,21.1
73,64,5,10,21,100,64.0,5.0,10.0,21.0
74,184,5,27,39,255,72.16,1.96,10.59,15.29
75,123,2,12,41,178,69.1,1.12,6.74,23.03
76,118,6,27,40,191,61.78,3.14,14.14,20.94
77,183,4,26,30,243,75.31,1.65,10.7,12.35
78,200,3,31,46,280,71.43,1.07,11.07,16.43
79,92,3,9,7,111,82.88,2.7,8.11,6.31
8,100,2,45,45,192,52.08,1.04,23.44,23.44
80,154,7,16,34,211,72.99,3.32,7.58,16.11
81,142,3,22,42,209,67.94,1.44,10.53,20.1
82,135,2,20,30,187,72.19,1.07,10.7,16.04
83,131,1,12,15,159,82.39,0.63,7.55,9.43
84,103,6,24,34,167,61.68,3.59,14.37,20.36
85,126,5,10,31,172,73.26,2.91,5.81,18.02
86,73,1,6,28,108,67.59,0.93,5.56,25.93
87,82,4,8,24,118,69.49,3.39,6.78,20.34
88,92,4,12,15,123,74.8,3.25,9.76,12.2
89,157,5,35,39,236,66.53,2.12,14.83,16.53
9,69,3,51,27,150,46.0,2.0,34.0,18.0
90,86,1,12,12,111,77.48,0.9,10.81,10.81
91,100,1,12,36,149,67.11,0.67,8.05,24.16
92,136,3,17,30,186,73.12,1.61,9.14,16.13
92-1,142,3,19,16,180,78.89,1.67,10.56,8.89
93,84,6,21,22,133,63.16,4.51,15.79,16.54
94,142,2,36,33,213,66.67,0.94,16.9,15.49
95,89,2,36,39,166,53.61,1.2,21.69,23.49
96,81,3,21,25,130,62.31,2.31,16.15,19.23
97,46,0,8,21,75,61.33,0.0,10.67,28.0
98,74,5,10,28,117,63.25,4.27,8.55,23.93
99,54,3,7,23,87,62.07,3.45,8.05,26.44
S/R 1,76,6,24,16,122,62.3,4.92,19.67,13.11
S/R 2,734,12,269,101,1116,65.77,1.08,24.1,9.05
