Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
1,62,3,25,20,110,56.36,2.73,22.73,18.18
1-1,91,0,50,50,191,47.64,0.0,26.18,26.18
10,118,4,74,59,255,46.27,1.57,29.02,23.14
100,118,4,16,29,167,70.66,2.4,9.58,17.37
101,85,4,17,26,132,64.39,3.03,12.88,19.7
102,157,7,17,26,207,75.85,3.38,8.21,12.56
103,92,3,11,19,125,73.6,2.4,8.8,15.2
104,167,6,24,38,235,71.06,2.55,10.21,16.17
105,87,7,16,18,128,67.97,5.47,12.5,14.06
106,177,6,30,43,256,69.14,2.34,11.72,16.8
107,122,3,10,24,159,76.73,1.89,6.29,15.09
107-1,32,5,8,17,62,51.61,8.06,12.9,27.42
108,135,3,16,38,192,70.31,1.56,8.33,19.79
109,165,6,15,33,219,75.34,2.74,6.85,15.07
11,76,4,36,41,157,48.41,2.55,22.93,26.11
110,107,1,14,34,156,68.59,0.64,8.97,21.79
111,140,1,20,32,193,72.54,0.52,10.36,16.58
112,101,5,24,28,158,63.92,3.16,15.19,17.72
112-1,108,5,13,31,157,68.79,3.18,8.28,19.75
113,86,2,13,20,121,71.07,1.65,10.74,16.53
114,212,6,27,46,291,72.85,2.06,9.28,15.81
115,150,3,22,31,206,72.82,1.46,10.68,15.05
116,117,3,12,23,155,75.48,1.94,7.74,14.84
117,110,5,19,26,160,68.75,3.12,11.88,16.25
118,63,3,14,16,96,65.62,3.12,14.58,16.67
119,97,4,16,21,138,70.29,2.9,11.59,15.22
12,97,2,30,49,178,54.49,1.12,16.85,27.53
120,120,6,15,41,182,65.93,3.3,8.24,22.53
121,84,6,11,31,132,63.64,4.55,8.33,23.48
122,44,1,16,18,79,55.7,1.27,20.25,22.78
123,96,2,12,15,125,76.8,1.6,9.6,12.0
124,146,11,25,48,230,63.48,4.78,10.87,20.87
125,80,8,7,29,124,64.52,6.45,5.65,23.39
126,81,1,19,43,144,56.25,0.69,13.19,29.86
127,127,6,9,54,196,64.8,3.06,4.59,27.55
128,110,16,28,55,209,52.63,7.66,13.4,26.32
128-1,62,3,12,33,110,56.36,2.73,10.91,30.0
129,148,8,33,72,261,56.7,3.07,12.64,27.59
13,82,1,44,33,160,51.25,0.62,27.5,20.62
130,69,2,5,23,99,69.7,2.02,5.05,23.23
131,56,1,16,30,103,54.37,0.97,15.53,29.13
132,61,2,14,36,113,53.98,1.77,12.39,31.86
133,109,4,19,43,175,62.29,2.29,10.86,24.57
134,143,14,24,53,234,61.11,5.98,10.26,22.65
135,140,4,23,63,230,60.87,1.74,10.0,27.39
135-1,70,7,30,33,140,50.0,5.0,21.43,23.57
136,163,12,35,71,281,58.01,4.27,12.46,25.27
137,91,6,14,52,163,55.83,3.68,8.59,31.9
137-1,92,5,31,27,155,59.35,3.23,20.0,17.42
138,81,5,30,56,172,47.09,2.91,17.44,32.56
139,92,2,14,19,127,72.44,1.57,11.02,14.96
14,119,4,66,48,237,50.21,1.69,27.85,20.25
140,113,6,5,41,165,68.48,3.64,3.03,24.85
141,98,5,22,21,146,67.12,3.42,15.07,14.38
142,133,8,11,39,191,69.63,4.19,5.76,20.42
143,142,11,27,33,213,66.67,5.16,12.68,15.49
144,125,1,9,31,166,75.3,0.6,5.42,18.67
145,106,3,8,27,144,73.61,2.08,5.56,18.75
146,100,9,28,36,173,57.8,5.2,16.18,20.81
147,102,8,6,34,150,68.0,5.33,4.0,22.67
147-1,103,3,12,29,147,70.07,2.04,8.16,19.73
148,135,11,36,54,236,57.2,4.66,15.25,22.88
149,98,1,15,16,130,75.38,0.77,11.54,12.31
15,81,6,50,69,206,39.32,2.91,24.27,33.5
150,91,2,13,32,138,65.94,1.45,9.42,23.19
151,81,4,16,47,148,54.73,2.7,10.81,31.76
152,92,1,22,34,149,61.74,0.67,14.77,22.82
153,138,9,38,60,245,56.33,3.67,15.51,24.49
154,152,10,41,78,281,54.09,3.56,14.59,27.76
155,123,8,27,58,216,56.94,3.7,12.5,26.85
