Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
40,126,6,41,51,224,56.25,2.68,18.3,22.77
40-1,53,10,13,50,126,42.06,7.94,10.32,39.68
41,114,11,18,103,246,46.34,4.47,7.32,41.87
42,102,14,12,96,224,45.54,6.25,5.36,42.86
43,184,13,42,158,397,46.35,3.27,10.58,39.8
44,98,9,16,65,188,52.13,4.79,8.51,34.57
45,125,18,15,47,205,60.98,8.78,7.32,22.93
46,173,18,16,74,281,61.57,6.41,5.69,26.33
47,108,9,22,77,216,50.0,4.17,10.19,35.65
48,123,12,12,56,203,60.59,5.91,5.91,27.59
49,125,13,15,51,204,61.27,6.37,7.35,25.0
5,97,25,9,48,179,54.19,13.97,5.03,26.82
50,82,10,7,33,132,62.12,7.58,5.3,25.0
500,37,6,16,11,70,52.86,8.57,22.86,15.71
501,23,3,8,5,39,58.97,7.69,20.51,12.82
502,27,6,18,13,64,42.19,9.38,28.12,20.31
503,43,2,11,7,63,68.25,3.17,17.46,11.11
51,149,13,11,59,232,64.22,5.6,4.74,25.43
52,117,17,10,50,194,60.31,8.76,5.15,25.77
53,130,5,6,54,195,66.67,2.56,3.08,27.69
54,99,22,20,66,207,47.83,10.63,9.66,31.88
55,90,9,8,19,126,71.43,7.14,6.35,15.08
56,83,12,15,32,142,58.45,8.45,10.56,22.54
57,97,12,14,56,179,54.19,6.7,7.82,31.28
58,104,17,4,31,156,66.67,10.9,2.56,19.87
59,101,10,26,56,193,52.33,5.18,13.47,29.02
6,0,0,0,0,0,,,,
60,96,10,16,35,157,61.15,6.37,10.19,22.29
600,69,10,16,20,115,60.0,8.7,13.91,17.39
601,283,29,38,73,423,66.9,6.86,8.98,17.26
602,396,20,37,101,554,71.48,3.61,6.68,18.23
603,284,19,96,123,522,54.41,3.64,18.39,23.56
604,226,20,70,91,407,55.53,4.91,17.2,22.36
605,191,15,27,30,263,72.62,5.7,10.27,11.41
606,117,17,27,12,173,67.63,9.83,15.61,6.94
607,276,17,49,70,412,66.99,4.13,11.89,16.99
608,368,24,73,55,520,70.77,4.62,14.04,10.58
609,136,7,19,28,190,71.58,3.68,10.0,14.74
61,118,9,18,71,216,54.63,4.17,8.33,32.87
610,201,9,19,53,282,71.28,3.19,6.74,18.79
611,113,5,41,19,178,63.48,2.81,23.03,10.67
612,382,15,83,145,625,61.12,2.4,13.28,23.2
613,148,5,22,46,221,66.97,2.26,9.95,20.81
614,559,31,119,153,862,64.85,3.6,13.81,17.75
615,405,29,110,126,670,60.45,4.33,16.42,18.81
62,150,10,16,45,221,67.87,4.52,7.24,20.36
63,133,10,20,30,193,68.91,5.18,10.36,15.54
64,137,7,17,28,189,72.49,3.7,8.99,14.81
65,122,7,16,51,196,62.24,3.57,8.16,26.02
66,125,7,15,28,175,71.43,4.0,8.57,16.0
67,120,8,12,32,172,69.77,4.65,6.98,18.6
68,132,8,17,81,238,55.46,3.36,7.14,34.03
69,66,11,18,24,119,55.46,9.24,15.13,20.17
7,145,9,15,54,223,65.02,4.04,6.73,24.22
70,71,9,9,34,123,57.72,7.32,7.32,27.64
71,71,9,9,36,125,56.8,7.2,7.2,28.8
72,65,2,3,26,96,67.71,2.08,3.12,27.08
73,105,5,13,69,192,54.69,2.6,6.77,35.94
74,147,8,13,90,258,56.98,3.1,5.04,34.88
75,43,2,5,44,94,45.74,2.13,5.32,46.81
76,127,5,13,51,196,64.8,2.55,6.63,26.02
77,76,10,10,54,150,50.67,6.67,6.67,36.0
78,118,7,9,58,192,61.46,3.65,4.69,30.21
79,40,3,5,13,61,65.57,4.92,8.2,21.31
8,149,17,11,70,247,60.32,6.88,4.45,28.34
80,92,6,12,31,141,65.25,4.26,8.51,21.99
81,85,14,27,31,157,54.14,8.92,17.2,19.75
82,110,3,18,15,146,75.34,2.05,12.33,10.27
83,61,13,11,45,130,46.92,10.0,8.46,34.62
84,79,6,11,28,124,63.71,4.84,8.87,22.58
85,84,7,11,25,127,66.14,5.51,8.66,19.69
86,166,11,29,50,256,64.84,4.3,11.33,19.53
87,108,14,17,35,174,62.07,8.05,9.77,20.11
88,71,11,9,29,120,59.17,9.17,7.5,24.17
89,70,16,14,28,128,54.69,12.5,10.94,21.88
9,91,11,7,31,140,65.0,7.86,5.0,22.14
90,69,6,5,17,97,71.13,6.19,5.15,17.53
91,127,16,30,47,220,57.73,7.27,13.64,21.36
92,125,11,32,82,250,50.0,4.4,12.8,32.8
93,129,13,28,55,225,57.33,5.78,12.44,24.44
94,175,19,28,81,303,57.76,6.27,9.24,26.73
95,134,17,16,77,244,54.92,6.97,6.56,31.56
96,128,11,7,78,224,57.14,4.91,3.12,34.82
97,145,9,15,72,241,60.17,3.73,6.22,29.88
98,106,9,17,70,202,52.48,4.46,8.42,34.65
99,160,7,8,84,259,61.78,2.7,3.09,32.43
S/R 1,96,6,14,17,133,72.18,4.51,10.53,12.78
S/R 2,381,33,91,83,588,64.8,5.61,15.48,14.12
