Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
1,89,7,6,48,150,59.33,4.67,4.0,32.0
10,115,5,15,52,187,61.5,2.67,8.02,27.81
100,121,12,29,81,243,49.79,4.94,11.93,33.33
101,103,6,19,69,197,52.28,3.05,9.64,35.03
102,74,8,29,53,164,45.12,4.88,17.68,32.32
103,120,10,25,89,244,49.18,4.1,10.25,36.48
104,117,3,39,74,233,50.21,1.29,16.74,31.76
105,125,9,21,70,225,55.56,4.0,9.33,31.11
106,104,9,16,43,172,60.47,5.23,9.3,25.0
107,132,23,25,121,301,43.85,7.64,8.31,40.2
108,86,12,13,49,160,53.75,7.5,8.12,30.63
109,137,13,21,79,250,54.8,5.2,8.4,31.6
11,93,7,18,41,159,58.49,4.4,11.32,25.79
110,62,7,9,56,134,46.27,5.22,6.72,41.79
111,119,4,11,55,189,62.96,2.12,5.82,29.1
112,149,24,36,100,309,48.22,7.77,11.65,32.36
113,169,10,30,84,293,57.68,3.41,10.24,28.67
114,150,14,11,91,266,56.39,5.26,4.14,34.21
115,133,13,19,77,242,54.96,5.37,7.85,31.82
116,81,10,28,61,180,45.0,5.56,15.56,33.89
117,130,11,22,103,266,48.87,4.14,8.27,38.72
118,158,12,26,123,319,49.53,3.76,8.15,38.56
119,102,2,16,94,214,47.66,0.93,7.48,43.93
12,92,8,19,46,165,55.76,4.85,11.52,27.88
120,163,10,19,85,277,58.84,3.61,6.86,30.69
121,104,3,19,52,178,58.43,1.69,10.67,29.21
121-1,81,8,23,39,151,53.64,5.3,15.23,25.83
122,208,11,44,140,403,51.61,2.73,10.92,34.74
123,80,5,23,59,167,47.9,2.99,13.77,35.33
124,80,5,17,29,131,61.07,3.82,12.98,22.14
125,78,4,12,75,169,46.15,2.37,7.1,44.38
126,0,0,0,0,0,,,,
127,84,2,10,37,133,63.16,1.5,7.52,27.82
128,94,6,35,41,176,53.41,3.41,19.89,23.3
128-1,95,4,25,67,191,49.74,2.09,13.09,35.08
129,85,6,18,46,155,54.84,3.87,11.61,29.68
129-1,115,9,26,98,248,46.37,3.63,10.48,39.52
13,89,11,10,60,170,52.35,6.47,5.88,35.29
130,146,10,26,78,260,56.15,3.85,10.0,30.0
131,79,10,22,58,169,46.75,5.92,13.02,34.32
132,100,16,20,39,175,57.14,9.14,11.43,22.29
132-1,97,2,25,37,161,60.25,1.24,15.53,22.98
133,150,4,32,93,279,53.76,1.43,11.47,33.33
134,121,7,30,81,239,50.63,2.93,12.55,33.89
135,155,11,36,74,276,56.16,3.99,13.04,26.81
135-1,156,7,54,65,282,55.32,2.48,19.15,23.05
136,149,8,39,66,262,56.87,3.05,14.89,25.19
137,90,16,32,97,235,38.3,6.81,13.62,41.28
138,142,10,34,69,255,55.69,3.92,13.33,27.06
139,127,11,19,66,223,56.95,4.93,8.52,29.6
14,198,22,24,67,311,63.67,7.07,7.72,21.54
15,162,10,9,41,222,72.97,4.5,4.05,18.47
16,106,11,6,36,159,66.67,6.92,3.77,22.64
17,40,3,4,28,75,53.33,4.0,5.33,37.33
18,154,15,14,63,246,62.6,6.1,5.69,25.61
19,107,11,12,54,184,58.15,5.98,6.52,29.35
2,100,7,21,72,200,50.0,3.5,10.5,36.0
20,93,4,12,32,141,65.96,2.84,8.51,22.7
20-1,99,7,9,68,183,54.1,3.83,4.92,37.16
21,87,4,12,44,147,59.18,2.72,8.16,29.93
22,121,10,24,60,215,56.28,4.65,11.16,27.91
23,77,7,8,29,121,63.64,5.79,6.61,23.97
24,157,3,23,75,258,60.85,1.16,8.91,29.07
25,97,10,9,43,159,61.01,6.29,5.66,27.04
26,141,8,13,45,207,68.12,3.86,6.28,21.74
27,125,16,10,79,230,54.35,6.96,4.35,34.35
28,161,13,21,74,269,59.85,4.83,7.81,27.51
29,125,17,16,47,205,60.98,8.29,7.8,22.93
3,96,2,2,18,118,81.36,1.69,1.69,15.25
30,140,17,4,48,209,66.99,8.13,1.91,22.97
31,100,9,15,57,181,55.25,4.97,8.29,31.49
32,132,5,23,63,223,59.19,2.24,10.31,28.25
33,117,6,32,89,244,47.95,2.46,13.11,36.48
34,167,7,22,117,313,53.35,2.24,7.03,37.38
35,97,8,23,76,204,47.55,3.92,11.27,37.25
36,120,11,35,72,238,50.42,4.62,14.71,30.25
37,135,10,32,70,247,54.66,4.05,12.96,28.34
38,85,9,21,61,176,48.3,5.11,11.93,34.66
39,107,15,33,79,234,45.73,6.41,14.1,33.76
4,86,12,11,31,140,61.43,8.57,7.86,22.14
4-1,133,17,27,49,226,58.85,7.52,11.95,21.68
